name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
ACP Estudio Jurídico - Contable (Contador Público UBA),ar,accountants,b2b-professional,Av. Entre Rios 1243,"Av. Entre Rios 1243, Ciudad de Buenos Aires Mejico 942, Avellaneda, Pcia. de Buenos Aires Marie Curie 3020 Ciudad Autónoma de Buenos Aires AR, C.A.B.A, C1133 Córdoba, Argentina",-34.6233649,-58.391792699999996,+54 11 5760-7128,https://estudioacp.wixsite.com/acpestudio,5,162,True,Accountant
MyContador - Asesoramiento Contable 100% Online,ar,accountants,b2b-professional,Av. Olazábal 1515 9 Piso 9,"Av. Olazábal 1515 9 Piso 9, C1428 Cdad. Autónoma de Buenos Aires, Argentina",-34.5547916,-58.449686299999996,+54 9 11 6427-9989,https://mycontador.com.ar/,5,376,True,Accountant
Estudio Contable Roldán & Asociados - Contadores Públicos,ar,accountants,b2b-professional,Miranda 4765 Piso 9,"Miranda 4765 Piso 9, Oficina ""B, C1407GFW Cdad. Autónoma de Buenos Aires, Argentina",-34.6210075,-58.5034123,+54 11 6800-7249,http://www.estudiocontableroldan.com.ar/,5,129,True,Accountant
Estudio Contable Ezequiel Stivelberg - Contador Público en Argentina,ar,accountants,b2b-professional,Av. Corrientes 1174,"Av. Corrientes 1174, C1043 Cdad. Autónoma de Buenos Aires, Argentina",-34.6039224,-58.3832801,+54 11 5027-0889,https://wa.me/541150270889,5,8,True,Accountant
ESTUDIO CONTABLE PIACENTINI,ar,accountants,b2b-professional,Camarones 2950,"Camarones 2950, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.612887,-58.48123,+54 11 5143-5065,http://www.estudiopiacentini.com.ar/,4.6,73,True,Accountant
Estudio Contable Digital,ar,accountants,b2b-professional,Guayaquil 134,"Guayaquil 134, C1424 Cdad. Autónoma de Buenos Aires, Argentina",-34.619814999999996,-58.4302303,+54 11 2845-0195,https://www.estudiocontabledigital.com.ar/,5,248,True,Certified public accountant
Contador Martins,ar,accountants,b2b-professional,Pringles 444,"Pringles 444, C1183 Cdad. Autónoma de Buenos Aires, Argentina",-34.6068128,-58.4278689,+54 11 3298-5019,https://www.instagram.com/contador.martins/,5,11,True,Accountant
Estudio Contable Frachia,ar,accountants,b2b-professional,Carlos Antonio López 2426,"Carlos Antonio López 2426, C1419 Cdad. Autónoma de Buenos Aires, Argentina",-34.5821602,-58.4976038,+54 11 3372-4759,https://estudiofrachia.com.ar/,5,96,True,Certified public accountant
Contador publico Julian Ceres (UBA - MATRICULADO),ar,accountants,b2b-professional,Av. Gral. Las Heras 2949,"Av. Gral. Las Heras 2949, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.583276399999995,-58.4028722,+54 11 5979-8144,,5,1,False,Certified public accountant
MS & Asociados,ar,accountants,b2b-professional,Av. Gral. Las Heras 2126,"Av. Gral. Las Heras 2126, C1127 Cdad. Autónoma de Buenos Aires, Argentina",-34.5890789,-58.3954156,+54 11 4803-9009,https://msyasociados.com/,4.9,14,True,Certified public accountant
Estudio Contable ECG,ar,accountants,b2b-professional,C1426 Cdad. Autónoma de Buenos Aires,"C1426 Cdad. Autónoma de Buenos Aires, Argentina",-34.5726602,-58.4334552,+54 9 11 2506-0295,http://www.estudioecg.com.ar/,4.9,19,True,Certified public accountant
Contador Público VP - Capital Federal,ar,accountants,b2b-professional,Caracas 581 Capital Federal 1406,"Caracas 581 Capital Federal 1406, Buenos Aires, Argentina",-34.622846599999995,-58.4635946,+54 11 2456-0382,http://www.estudio-vp.com.ar/,4.8,32,True,Certified public accountant
Contador Público en CABA - Dra. María Flores,ar,accountants,b2b-professional,Av. Corrientes 2763 Piso 2 Ofi. 8,"Av. Corrientes 2763 Piso 2 Ofi. 8, C1046 Cdad. Autónoma de Buenos Aires, Argentina",-34.6044189,-58.4045407,+54 11 5402-1644,https://www.lozanoflores.com.ar/,5,23,True,Chartered accountant
