name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Clínica Buenos Ayres,ar,clinics,health-wellness,Gallo 495,"Gallo 495, C1172 ABI, Cdad. Autónoma de Buenos Aires, Argentina",-34.603328,-58.412805,+54 11 4865-4201,http://www.clinicabuenosayres.com.ar/,3,82,True,Medical clinic
Clinica Bazterrica,ar,clinics,health-wellness,Billinghurst 2072,"Billinghurst 2072, C1425DTP Cdad. Autónoma de Buenos Aires, Argentina",-34.5872922,-58.407679599999994,+54 11 4821-1600,http://www.bazterrica.com.ar/,3.1,1916,True,Medical clinic
Hospital de Clínicas José de San Martín (UBA),ar,clinics,health-wellness,Av. Córdoba 2351,"Av. Córdoba 2351, C1120 Cdad. Autónoma de Buenos Aires, Argentina",-34.5992914,-58.400078099999995,+54 11 5950-8000,http://www.hospitaldeclinicas.uba.ar/,3.6,2374,True,University hospital
Climédica,ar,clinics,health-wellness,Saavedra 1039,"Saavedra 1039, C1229 Cdad. Autónoma de Buenos Aires, Argentina",-34.6215707,-58.4017382,+54 11 4943-0183,http://www.climedica.com.ar/,2.8,618,True,Medical clinic
San Camilo Clinic,ar,clinics,health-wellness,Avenida Angel Gallardo 899,"Avenida Angel Gallardo 899, Mahatma Gandhi 572, C1405DJI Buenos Aires, Argentina",-34.606377699999996,-58.4430026,+54 11 4858-8100,http://www.clinicasancamilo.org.ar/,4,3252,True,Medical clinic
Clínica Zabala Swiss Medical,ar,clinics,health-wellness,Av. Cabildo 1295,"Av. Cabildo 1295, C1426AAM Cdad. Autónoma de Buenos Aires, Argentina",-34.567777,-58.448778,+54 11 5236-8500,https://www.clinicazabala.com.ar/,3.1,1726,True,Medical clinic
Clínica de la Esperanza,ar,clinics,health-wellness,Tres Arroyos 2060,"Tres Arroyos 2060, C1416DDF Cdad. Autónoma de Buenos Aires, Argentina",-34.6120958,-58.466348499999995,,http://www.clinicadelaesperanza.com.ar/,3.4,905,True,Medical clinic
Medicus Center Azcuénaga,ar,clinics,health-wellness,Azcuénaga 910,"Azcuénaga 910, C1115AAD Cdad. Autónoma de Buenos Aires, Argentina",-34.5977726,-58.400734,+54 800-333-3338,https://www.medicus.com.ar/,3.1,1586,True,Medical Center
IART MEDICINA,ar,clinics,health-wellness,Billinghurst 31,"Billinghurst 31, C1174AAA, C1174 Cdad. Autónoma de Buenos Aires, Argentina",-34.610361999999995,-58.415708599999995,+54 11 2140-3529,http://iart.com.ar/,4.7,336,True,Private hospital
Hospital Británico de Buenos Aires,ar,clinics,health-wellness,Perdriel 74,"Perdriel 74, C1280AEB Cdad. Autónoma de Buenos Aires, Argentina",-34.6342755,-58.387776599999995,+54 11 4309-6400,,3.1,3105,False,Private hospital
Alas Medical Center,ar,clinics,health-wellness,San Luis 2740,"San Luis 2740, C1186 Cdad. Autónoma de Buenos Aires, Argentina",-34.5999926,-58.4047859,+54 11 4963-3434,http://www.centromedicoalas.com.ar/,3.6,528,True,Medical Center
Sanatorio Finochietto,ar,clinics,health-wellness,Av. Córdoba 2678,"Av. Córdoba 2678, C1187 Cdad. Autónoma de Buenos Aires, Argentina",-34.598253299999996,-58.405271299999995,+54 11 3752-8000,http://www.sanatoriofinochietto.com/,3.7,2168,True,Medical clinic
SAN JUAN MEDICAL CENTER,ar,clinics,health-wellness,Av. San Juan 2511,"Av. San Juan 2511, C1232AAH Cdad. Autónoma de Buenos Aires, Argentina",-34.6234549,-58.4007085,+54 11 4941-1594,http://www.climedica.com.ar/,2.1,315,True,Medical Center
Consultorios Externos Sanatorio Mater Dei,ar,clinics,health-wellness,Castex 3360,"Castex 3360, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.578175699999996,-58.4057527,+54 11 4809-5533,http://www.sanatoriomaterdei.com.ar/,4.7,3238,True,Medical Center
Clínica I.T.E.B.A.,ar,clinics,health-wellness,Terrada 550,"Terrada 550, C1406 Cdad. Autónoma de Buenos Aires, Argentina",-34.625336499999996,-58.470766499999996,+54 9 11 3692-6191,http://www.clinicaiteba.com.ar/,4.1,308,True,Medical clinic
MEDICAL SERVICE SEDE LARREA,ar,clinics,health-wellness,Larrea 881,"Larrea 881, C1117 Cdad. Autónoma de Buenos Aires, Argentina",-34.5980742,-58.402124199999996,+54 11 2150-5505,http://www.medicalservice.com.ar/,4.4,109,True,Occupational medical physician
Trinity Medical Center,ar,clinics,health-wellness,Sinclair 2924,"Sinclair 2924, C1425FRB Cdad. Autónoma de Buenos Aires, Argentina",-34.5758405,-58.424196599999995,+54 810-777-2583,,3,212,False,Private hospital
Swiss Medical | Centro Médico Los Arcos,ar,clinics,health-wellness,Guatemala 5455,"Guatemala 5455, C1425BVE Cdad. Autónoma de Buenos Aires, Argentina",-34.5813075,-58.430555299999995,+54 810-333-8876,,2.8,435,False,Medical Center
