name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Constructora Sudamericana,ar,construction,trades-home-services,Av. Leandro N. Alem 986,"Av. Leandro N. Alem 986, C1001 AAR, Cdad. Autónoma de Buenos Aires, Argentina",-34.5964522,-58.3724804,+54 11 7078-2008,http://www.cosud.com/,4.3,105,True,Construction company
Riva,ar,construction,trades-home-services,Suipacha 1067,"Suipacha 1067, C1011 Cdad. Autónoma de Buenos Aires, Argentina",-34.5957351,-58.3798581,+54 11 4312-9229,http://www.riva.com.ar/,4.2,99,True,Construction company
Panedile Argentina,ar,construction,trades-home-services,Torre Brunetta,"Torre Brunetta, Suipacha 1111 Piso 26º, C1008AAW Cdad. Autónoma de Buenos Aires, Argentina",-34.5950317,-58.379798799999996,+54 11 5071-9000,https://site.panedile.com/,4.6,46,True,Construction company
Disant SRL Constructora,ar,construction,trades-home-services,Viamonte 1481 4 B,"Viamonte 1481 4 B, C1055 centro, Cdad. Autónoma de Buenos Aires, Argentina",-34.6005691,-58.3878146,+54 11 2794-9481,https://www.instagram.com/disant.construcciones/,4.9,29,True,Construction company
Grupo Fralo Construcciones,ar,construction,trades-home-services,Calle del Caminante 80,"del, Calle del Caminante 80, B1670 Buenos Aires, Provincia de Buenos Aires, Argentina",-34.3998973,-58.6505918,+54 11 3383-3532,http://www.grupofraloconstrucciones.com/,4.7,24,True,Construction company
Galimberti Construcciones,ar,construction,trades-home-services,Estados Unidos 332,"Estados Unidos 332, C1101AAH, C1101AAH Cdad. Autónoma de Buenos Aires, Argentina",-34.6185428,-58.370563399999995,,,4.8,51,False,Construction company
Vivelo - Construcción y desarrollo inmobiliario en Buenos Aires,ar,construction,trades-home-services,Juncal 3061 1a,"Juncal 3061 1a, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5868628,-58.4077847,+54 11 2857-4404,https://vivelo.ar/,5,11,True,Construction company
Niro Construye,ar,construction,trades-home-services,Av. San Juan 1119,"Av. San Juan 1119, C1147 Cdad. Autónoma de Buenos Aires, Argentina",-34.6219902,-58.3818506,+54 11 4306-1001,http://niroconstruye.com/,4.4,77,True,Construction company
Cámara Argentina de la Construcción - Central,ar,construction,trades-home-services,Av. Paseo Colón 823,"Av. Paseo Colón 823, C1063 Cdad. Autónoma de Buenos Aires, Argentina",-34.6173646,-58.3699132,+54 11 4361-8778,https://www.camarco.org.ar/,4.3,97,True,Home builder
Advance Construcciones y Servicios,ar,construction,trades-home-services,Manuel Ricardo Trelles 1955,"Manuel Ricardo Trelles 1955, C1416 Cdad. Autónoma de Buenos Aires, Argentina",-34.6054873,-58.4651116,+54 11 3949-7689,http://www.advanceconstrucciones.com/,5,60,True,Construction company
Constructora Santiago SA,ar,construction,trades-home-services,Arcos 2419,"Arcos 2419, C1428AFM Cdad. Autónoma de Buenos Aires, Argentina",-34.557364299999996,-58.4562987,+54 11 4896-0434,http://empresa-constructora.csantiago.com.ar/,4.1,28,True,Construction company
