name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Facultad de Odontología. Hospital Odontología Universitario,ar,dentists,health-wellness,Marcelo Torcuato de Alvear 2142,"Marcelo Torcuato de Alvear 2142, C1122 Cdad. Autónoma de Buenos Aires, Argentina",-34.597313199999995,-58.398237599999995,+54 11 5287-6000,http://www.odontologia.uba.ar/,4,2871,True,Dental school
Dental Woda,ar,dentists,health-wellness,Marcelo Torcuato de Alvear 2163 5to piso,"Marcelo Torcuato de Alvear 2163 5to piso, C1122 Cdad. Autónoma de Buenos Aires, Argentina",-34.5970404,-58.3983153,+54 11 7362-4454,http://dentalwoda.com.ar/,4.9,498,True,Dentist
Tu Sonrisa - odontología Especializada.,ar,dentists,health-wellness,Av. Sta. Fe 2755,"Av. Sta. Fe 2755, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5928006,-58.4055896,+54 11 3986-7665,https://tusonrisargentina.com/,4.9,10623,True,Dentist
Baires Odontología - Recoleta,ar,dentists,health-wellness,Av. Sta. Fe 2650,"Av. Sta. Fe 2650, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5937973,-58.404507699999996,+54 11 3851-0633,https://www.bairesodontologia.com/,4.7,98,True,Dental clinic
Zuro Dental - Azcuenaga (Sede Central),ar,dentists,health-wellness,Azcuénaga 1077,"Azcuénaga 1077, C1115 Cdad. Autónoma de Buenos Aires, Argentina",-34.595673,-58.399799099999996,+54 11 7078-0570,http://www.zurodental.com.ar/,4.7,621,True,Dental clinic
SISO Dental Palermo,ar,dentists,health-wellness,Av. Sta. Fe 3205 Planta Baja 1,"Av. Sta. Fe 3205 Planta Baja 1, C1425EHI Cdad. Autónoma de Buenos Aires, Argentina",-34.5887098,-58.4103068,+54 11 5365-7087,http://www.sisodental.com.ar/,4.8,785,True,Dentist
Zuro Dental - Marcelo T. de Alvear (Anexo),ar,dentists,health-wellness,Marcelo Torcuato de Alvear 2345 1º A,"Marcelo Torcuato de Alvear 2345 1º A, C1122AAK Cdad. Autónoma de Buenos Aires, Argentina",-34.596443,-58.4007709,+54 11 7078-0570,https://www.zurodental.com.ar/,4.3,430,True,Dental clinic
Myos Consultorios Odontológicos - CABA,ar,dentists,health-wellness,Av. Pres. Roque Sáenz Peña 924,"Av. Pres. Roque Sáenz Peña 924, C1035 Cdad. Autónoma de Buenos Aires, Argentina",-34.604780999999996,-58.3800387,+54 11 3377-2300,http://www.myosdiente.com.ar/,4.9,64,True,Dental clinic
Dental Palermo,ar,dentists,health-wellness,Charcas 3127,"Charcas 3127, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5926433,-58.409883699999995,+54 11 3794-5890,http://www.dentalpalermo.com.ar/,4.9,235,True,Dental clinic
FES Odontología - Od. Micaela Britos y Equipo,ar,dentists,health-wellness,Suipacha 356 Piso 3 C,"Suipacha 356 Piso 3 C, C1008 Cdad. Autónoma de Buenos Aires, Argentina",-34.604146899999996,-58.3794833,,https://www.micaelabritosodontologia.com.ar/,4.9,130,True,Dentist
Dental Soho - Odontología integral,ar,dentists,health-wellness,Gorriti 5399,"Gorriti 5399, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.5869171,-58.434816299999994,+54 11 6574-8079,http://dentalsoho.com.ar/,4.8,171,True,Dental clinic
SISO Dental Concept,ar,dentists,health-wellness,Ciudad Autónoma de Buenos Aires AR,"Ciudad Autónoma de Buenos Aires AR, Paraguay 2041 4 D, 1122 AAH, Argentina",-34.598362099999996,-58.396505999999995,+54 11 5365-7087,http://www.sisodental.com.ar/,4.7,707,True,Dentist
Dentistry ODAR Argentina,ar,dentists,health-wellness,Suipacha 556,"Suipacha 556, C1008AAL Cdad. Autónoma de Buenos Aires, Argentina",-34.6017702,-58.379658899999995,+54 11 6755-1139,http://www.odar.com.ar/,4.2,650,True,Dental clinic
Junín Odontología,ar,dentists,health-wellness,Junín 1655 3A,"Junín 1655 3A, C1113AAQ Cdad. Autónoma de Buenos Aires, Argentina",-34.5897213,-58.3934247,+54 11 4803-4481,http://www.juninodontologia.com.ar/,4.5,230,True,Dental clinic
Eh Odontología,ar,dentists,health-wellness,Paraná 754,"Paraná 754, C1017 Cdad. Autónoma de Buenos Aires, Argentina",-34.5999329,-58.3882129,+54 11 2250-7466,https://ehodontologia.com/,4.9,175,True,Dentist
Orthé Recoleta - Odontología Integral,ar,dentists,health-wellness,Av. Gral. Las Heras 2131,"Av. Gral. Las Heras 2131, C1127 Cdad. Autónoma de Buenos Aires, Argentina",-34.5889995,-58.395061299999995,+54 11 2163-4412,http://www.orthe.com.ar/,4.9,349,True,Dental clinic
Recoleta Odontología,ar,dentists,health-wellness,de Bue Ciudad Autónoma de Buenos Aires AR,"AAG, de Bue Ciudad Autónoma de Buenos Aires AR, French 2411, C1125 Buenos Aires, Argentina",-34.5906555,-58.3993026,+54 11 6299-0482,https://www.instagram.com/recoleta.odontologia/,4.8,49,True,Dental clinic
SM Odontología,ar,dentists,health-wellness,Av. Córdoba 2077,"Av. Córdoba 2077, C1120 Cdad. Autónoma de Buenos Aires, Argentina",-34.5995178,-58.396884,+54 27590154,https://sm-odontologia.com/,5,224,True,Denture care center
Dental Das Group Argentina - Estética dental - Carillas - Implantes,ar,dentists,health-wellness,Laprida 1621 2 B,"Laprida 1621 2 B, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5910027,-58.4039302,+54 11 4824-7177,https://www.dental-argentina.com.ar/,4.6,296,True,Dentist
Odonto Shine,ar,dentists,health-wellness,Tucumán 766,"Tucumán 766, C1049 Cdad. Autónoma de Buenos Aires, Argentina",-34.601439299999996,-58.3777525,+54 11 2169-8253,https://sites.google.com/view/odontoshine/inicio?authuser=0,5,87,True,Dental clinic
Celedent | Consultorio Odontológico en Recoleta | Dra. Yaraibelt López,ar,dentists,health-wellness,Av. Córdoba 966 Piso 5,"Av. Córdoba 966 Piso 5, Depto E, C1054 Cdad. Autónoma de Buenos Aires, Argentina",-34.5991266,-58.380707599999994,+54 9 11 3874-9345,https://www.celedent.com.ar/,4.9,741,True,Dentist
Odontología Implantes y Ortodoncia Dra. Gomez Elizabeth,ar,dentists,health-wellness,Av. Corrientes 525,"Av. Corrientes 525, C1043 Cdad. Autónoma de Buenos Aires, Argentina",-34.6031249,-58.374235399999996,+54 11 7009-4738,https://dra-gomez.com.ar/,4.9,149,True,Dentist
QC Grupo Dental Buenos Aires,ar,dentists,health-wellness,Unidad 07,"Unidad 07, QC Grupo Dental, Esmeralda 920 Piso 10, C1007 Cdad. Autónoma de Buenos Aires, Argentina",-34.597415999999996,-58.3787448,+54 9 11 5022-3624,http://bio.site/qcgrupodental,4.9,77,True,Dental clinic
Malva Odontología- dentistas en Palermo,ar,dentists,health-wellness,Av. Cnel. Díaz 1737,"Av. Cnel. Díaz 1737, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5911919,-58.4117684,+54 11 6111-2894,http://malvaodontologia.com.ar/,5,195,True,Dental clinic
GETS Odontología,ar,dentists,health-wellness,Paunero 2765,"ABE, Paunero 2765, C1425 C1084ABE, Cdad. Autónoma de Buenos Aires, Argentina",-34.581929099999996,-58.4087081,+54 9 11 2250-2536,https://getsodontologia.com.ar/,4.9,218,True,Dentist
Odontología Villa Urquiza®,ar,dentists,health-wellness,Av. Olazábal 5105 5 piso,"Av. Olazábal 5105 5 piso, Depto 49, B1431 Cdad. Autónoma de Buenos Aires, Argentina",-34.5764278,-58.4861298,+54 11 4523-7423,https://odontologiavillaurquiza.com.ar/,4.7,390,True,Dentist
Clínica Dental Smiling y Radiología - Balvanera,ar,dentists,health-wellness,Matheu 29,"Matheu 29, C1082 Cdad. Autónoma de Buenos Aires, Argentina",-34.6102172,-58.4005684,+54 11 7112-9824,,4.6,260,False,Dental clinic
