name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
González Frea & Asoc. Abogados,ar,lawyers,b2b-professional,"25 de Mayo 611 1º ""3"" Segundo Cuerpo","25 de Mayo 611 1º ""3"" Segundo Cuerpo, ABM, C1002 Cdad. Autónoma de Buenos Aires, Argentina",-34.6005527,-58.3711364,+54 11 5256-9500,https://www.gonzalezfrea.com.ar/,4.9,8078,True,Attorney
Estudio Jurídico Tejerina Anchorena Divorcio,ar,lawyers,b2b-professional,Av. Pres. Roque Sáenz Peña 651 Piso 5º Of. 108/109,"Av. Pres. Roque Sáenz Peña 651 Piso 5º Of. 108/109, C1035 Buenos Aires, Argentina",-34.6064905,-58.3759697,+54 11 3011-2548,https://www.estudiotejerina.com.ar/el-estudio/,4.8,173,True,Family law attorney
Estudio Jurídico Diz,ar,lawyers,b2b-professional,Av. de Mayo 1370 piso 4º Oficinas Nº 53/54,"Av. de Mayo 1370 piso 4º Oficinas Nº 53/54, C1086 Cdad. Autónoma de Buenos Aires, Argentina",-34.6094078,-58.3858195,+54 52630851,https://www.estudiojuridicodiz.com.ar/,4.8,296,True,Attorney
García Dabezies & Tassitch Abogados - Divorcios y Sucesiones,ar,lawyers,b2b-professional,Av. Juan B. Alberdi 1485 4 A,"Av. Juan B. Alberdi 1485 4 A, GRP, 1406 Buenos Aires, Argentina",-34.6256722,-58.4488761,+54 11 3316-6267,https://gdtabogados.com/,4.9,389,True,Family law attorney
Abogados Laborales,ar,lawyers,b2b-professional,25 de Mayo 611,"ABM, 25 de Mayo 611, C1002 Cdad. Autónoma de Buenos Aires, Argentina",-34.600553,-58.371136,+54 11 5256-9500,http://www.abogadoslaboral.com.ar/,4.9,6693,True,Employment attorney
Bruchou & Funes de Rioja,ar,lawyers,b2b-professional,Ing. Enrique Butty 275 Piso 10,"Ing. Enrique Butty 275 Piso 10, C1106ACW Cdad. Autónoma de Buenos Aires, Argentina",-34.596001,-58.3714606,+54 11 5171-2300,https://bruchoufunes.com/,4.2,85,True,Law firm
Abogados Internacional,ar,lawyers,b2b-professional,Av. Sta. Fe 1900,"Av. Sta. Fe 1900, C1123 Cdad. Autónoma de Buenos Aires, Argentina",-34.5959966,-58.3947972,+54 11 5975-5460,http://www.abogadosinternacional.com/,5,88,True,Legal services
Abogados Laborales & Asoc,ar,lawyers,b2b-professional,"Tucumán 1668 piso 2 ""A","Tucumán 1668 piso 2 ""A, C1050AAH Cdad. Autónoma de Buenos Aires, Argentina",-34.602007199999996,-58.3907044,+54 9 11 4673-4420,http://www.aboglaborales.com.ar/servicios.php,5,171,True,Employment attorney
Estudio G&Q. Abogada Previsional Jubilaciones. Abogado Laboral: Despidos,ar,lawyers,b2b-professional,Paraná 774 3° B,"Paraná 774 3° B, C1017 Cdad. Autónoma de Buenos Aires, Argentina",-34.5997035,-58.38822,+54 9 11 5156-7357,https://estudiogyq.com/abogada-jubilaciones/?srsltid=AfmBOopRHwlxwnNWHH0LBg9VFlFqp8vtPDQhHZlCV9U06hd94_miLOq2,4.9,140,True,Attorney
De.Martin & Asociados | Servicios Legales | Law Firm,ar,lawyers,b2b-professional,Esmeralda 740 P.B,"Esmeralda 740 P.B, C1012 Cdad. Autónoma de Buenos Aires, Argentina",-34.5996042,-58.3783977,+54 11 6179-4486,https://estudiodemartin.com/,4.8,580,True,Immigration attorney
