name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
MKT Marketing Digital - Digital Marketing Agency Argentina,ar,marketing_agencies,technology-digital,Av. Pres. Roque Sáenz Peña 938,"Av. Pres. Roque Sáenz Peña 938, C1035 Cdad. Autónoma de Buenos Aires, Argentina",-34.604667,-58.3801492,+54 9 11 6202-1111,https://mktmarketingdigital.com/,4.7,46,True,Marketing agency
Agencia MD Marketing Digital | Argentina,ar,marketing_agencies,technology-digital,Maipú 939 Oficina 47,"Maipú 939 Oficina 47, C1006ACM Cdad. Autónoma de Buenos Aires, Argentina",-34.5970808,-58.376852899999996,+54 11 6876-0106,https://ar.mdmarketingdigital.com/?utm_source=GoogleMaps&utm_medium=MyBusiness,4.6,63,True,Internet marketing service
Agencia de Marketing Digital | Buhomedia,ar,marketing_agencies,technology-digital,Cuba 1745,"Cuba 1745, C1426 Cdad. Autónoma de Buenos Aires, Argentina",-34.5643057,-58.4516974,+54 9 11 5665-1006,https://buhomedia.com.ar/,4.7,26,True,Marketing agency
AgenciaMH,ar,marketing_agencies,technology-digital,Solo con cita previa,"Solo con cita previa, Av. Pres. Roque Sáenz Peña 615, C1035AAB Cdad. Autónoma de Buenos Aires, Argentina",-34.6067142,-58.375493399999996,+54 11 3436-8904,http://www.agenciamh.com/,4.9,51,True,Marketing agency
Upway Digital - Agencia de Marketing Digital,ar,marketing_agencies,technology-digital,Av. Corrientes 800,"Av. Corrientes 800, C1008 Cdad. Autónoma de Buenos Aires, Argentina",-34.6036651,-58.377891,+54 11 5944-5536,https://upwaydigitalsolutions.com/,5,46,True,Marketing agency
Seonet Marketing Digital,ar,marketing_agencies,technology-digital,Av. Luis María Campos 70,"Av. Luis María Campos 70, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5760225,-58.4300305,+54 11 5368-7974,http://www.seonet.com.ar/,4.6,52,True,Marketing agency
Agencia de Growth Marketing en Argentina | Vivi,ar,marketing_agencies,technology-digital,Cnel. Niceto Vega 4736,"Cnel. Niceto Vega 4736, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.5928574,-58.430780899999995,+54 9 11 3443-3223,https://vivi-smart.com/?utm_source=gmb&utm_medium=ficha-gm-ar,4.5,22,True,Marketing agency
Imactions - Agencia de Marketing Digital,ar,marketing_agencies,technology-digital,Gral. Lucio Norberto Mansilla 2513,"Gral. Lucio Norberto Mansilla 2513, C1425 Cdad. Autónoma de Buenos Aires, Argentina",-34.5964082,-58.403275,+54 11 5032-8065,https://imactions.agency/?utm_source=Google_Organico&utm_medium=Organico_GMB&utm_campaign=google_my_bussines&utm_id=GoogleSEO,5,86,True,Marketing agency
VML Argentina,ar,marketing_agencies,technology-digital,Arribeños 2740,"Arribeños 2740, C1428 Cdad. Autónoma de Buenos Aires, Argentina",-34.5524436,-58.4551965,+54 11 5777-8500,https://www.vml.com/argentina,4.5,139,True,Advertising agency
ClickGlobal,ar,marketing_agencies,technology-digital,Estomba 1428,"Estomba 1428, C1427 Cdad. Autónoma de Buenos Aires, Argentina",-34.5774489,-58.4655219,+54 11 7014-5141,https://clickglobal.com.ar/,4.8,82,True,Marketing agency
Havas Group - Argentina,ar,marketing_agencies,technology-digital,Serrano 669 7mo Piso,"Serrano 669 7mo Piso, C1414DEM Cdad. Autónoma de Buenos Aires, Argentina",-34.5951227,-58.440358399999994,+54 11 4010-7400,http://www.havasmediagroupargentina.com/,4.6,185,True,Marketing agency
Point Web - Agencia De Publicidad - Diseño Web - Marketing Digital,ar,marketing_agencies,technology-digital,Nicaragua 5812,"Nicaragua 5812, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.5800115,-58.4357833,+54 11 2462-3183,https://pointweb.com.ar/,5,169,True,Marketing agency
Momentum Buenos Aires,ar,marketing_agencies,technology-digital,Costa Rica 6012,"Costa Rica 6012, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.5793964,-58.4389871,,https://www.mccann.com.ar/,4.3,28,True,Advertising agency
Hoopla agencia de publicidad,ar,marketing_agencies,technology-digital,Pedro,"Pedro, Conde 2024 4h, C1428DAF Cdad. Autónoma de Buenos Aires, Argentina",-34.5680931,-58.465063199999996,+54 11 5236-2279,https://www.hoopla.la/,5,13,True,Advertising agency
Metared SRL - Agencia de Marketing Digital,ar,marketing_agencies,technology-digital,,,9.474492,-94.1819,+54 9 11 2693-7431,https://www.metared.ar/,5,32,True,Marketing agency
