name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Gen IT,ar,tech_companies,technology-digital,Santos Dumont 3429,"Santos Dumont 3429, C1427 Cdad. Autónoma de Buenos Aires, Argentina",-34.582355,-58.447475999999995,+54 11 3221-9615,http://www.genit.com.ar/,4.8,26,True,Software company
"Tec5.Tech | Expertos en Soporte Técnico, Nube, Consultoría y Seguridad Informática",ar,tech_companies,technology-digital,Viamonte 1145 3 A,"Viamonte 1145 3 A, ABW, 1053 Buenos Aires, Argentina",-34.6002964,-58.383214699999996,+54 11 5352-6030,https://tec5.tech/,4.9,213,True,Computer consultant
CDA Informática,ar,tech_companies,technology-digital,Av. Caseros 3515,"Av. Caseros 3515, C1263AAE Cdad. Autónoma de Buenos Aires, Argentina",-34.63856,-58.4148948,+54 11 4331-3711,http://www.cdainfo.com/,4.8,23,True,Software company
EXO Soluciones Tecnológicas,ar,tech_companies,technology-digital,Av. Chiclana 3444,"Av. Chiclana 3444, C1260ACO Cdad. Autónoma de Buenos Aires, Argentina",-34.635889,-58.4130051,+54 810-122-2396,http://www.exo.com.ar/,3.8,1434,True,Computer store
Bayton Tecnologia - Nucleus Buenos Aires,ar,tech_companies,technology-digital,Sarmiento 1113,"Sarmiento 1113, C1041 AAW, Cdad. Autónoma de Buenos Aires, Argentina",-34.604965,-58.382521999999994,+54 11 5368-6991,,4.1,9,False,Software company
COA Tecnología de la Información Aplicada,ar,tech_companies,technology-digital,Maipú 939,"Maipú 939, C1006 Cdad. Autónoma de Buenos Aires, Argentina",-34.5970808,-58.376852899999996,+54 800-345-4848,https://www.coa.com.ar/,4.8,12,True,Software company
Factor IT,ar,tech_companies,technology-digital,Montevideo 496,"Montevideo 496, C1019ABJ Cdad. Autónoma de Buenos Aires, Argentina",-34.6032997,-58.3895403,,http://www.factorit.com.ar/,4.9,14,True,Software company
Intec Software,ar,tech_companies,technology-digital,Av. Córdoba 2053,"Av. Córdoba 2053, C1021 Cdad. Autónoma de Buenos Aires, Argentina",-34.599593399999996,-58.3965648,+54 11 5218-5450,https://www.intecsoft.com.ar/,4.7,19,True,Software company
Tecnología en Producción de Sistemas,ar,tech_companies,technology-digital,Av. Córdoba 1351 piso 13,"Av. Córdoba 1351 piso 13, C1055 AAF, Cdad. Autónoma de Buenos Aires, Argentina",-34.5991284,-58.386210899999995,+54 11 5168-2500,,4,2,False,Software company
TEIPESA | Tecnología e Información para Empresas SA,ar,tech_companies,technology-digital,Florida 15 Piso 3,"Florida 15 Piso 3, C1005 Cdad. Autónoma de Buenos Aires, Argentina",-34.607778499999995,-58.3747416,+54 11 5275-6829,,5,2,False,Software company
Synchro Technologies,ar,tech_companies,technology-digital,Iguazú 280,"Iguazú 280, C1437 Cdad. Autónoma de Buenos Aires, Argentina",-34.640922499999995,-58.4062318,+54 11 3221-9560,http://synchro-technologies.com/,4.8,13,True,Corporate office
IBM Argentina,ar,tech_companies,technology-digital,Ing. Enrique Butty 275,"Ing. Enrique Butty 275, C1001 Cdad. Autónoma de Buenos Aires, Argentina",-34.5960813,-58.371447599999996,+54 11 5286-4898,http://www.ibm.com/,4.3,1077,True,Software company
Summant Technologies,ar,tech_companies,technology-digital,Cerrito 348,"Cerrito 348, C1010 Cdad. Autónoma de Buenos Aires, Argentina",-34.6045356,-58.3823054,+54 11 5031-8009,http://www.summant.com/,4.7,3,True,Software company
Incluit,ar,tech_companies,technology-digital,Tte. Gral. Juan Domingo Perón 698,"Tte. Gral. Juan Domingo Perón 698, C1038AAN, C1038 AAN, Cdad. Autónoma de Buenos Aires, Argentina",-34.6059153,-58.3764201,+54 11 5199-0891,http://www.incluit.com/,5,25,True,Software company
Corporate,ar,tech_companies,technology-digital,Juana Manso 1069,"Juana Manso 1069, C1107 Cdad. Autónoma de Buenos Aires, Argentina",-34.609072,-58.363076799999995,+54 11 4515-7100,,3.8,185,False,Corporate office
Tecnología y Desarrollo Informático S.R.L.,ar,tech_companies,technology-digital,Paraguay 515 Piso 5,"Paraguay 515 Piso 5, C1057AAE Cdad. Autónoma de Buenos Aires, Argentina",-34.5973778,-58.3744872,+54 11 4313-3727,http://www.tdi.com.ar/,5,9,True,Computer consultant
TSOFT GLOBAL,ar,tech_companies,technology-digital,Av. Chiclana 3345,"ACA, Av. Chiclana 3345, C1260 C1260ACA, Cdad. Autónoma de Buenos Aires, Argentina",-34.6346542,-58.4118305,+54 11 5237-3000,http://www.tsoftglobal.com/,4.6,50,True,Software company
Yel Informática,ar,tech_companies,technology-digital,La Rioja 2011,"La Rioja 2011, C1244 ABQ, Cdad. Autónoma de Buenos Aires, Argentina",-34.6349557,-58.4059878,+54 11 2033-3400,http://www.yelinformatica.com.ar/,3.7,21,True,Software company
Consensus Argentina S.A.,ar,tech_companies,technology-digital,Sánchez de Loria 2395,"ACM, Sánchez de Loria 2395, C1241 C1241ACM, Cdad. Autónoma de Buenos Aires, Argentina",-34.637845299999995,-58.4114912,+54 11 6091-6160,http://www.consensusgroup.net/,4.5,22,True,Software company
Flux IT Buenos Aires,ar,tech_companies,technology-digital,Av. Alicia Moreau de Justo 1750,"Av. Alicia Moreau de Justo 1750, C1099 Cdad. Autónoma de Buenos Aires, Argentina",-34.618809,-58.3654199,+54 11 5272-6390,http://www.fluxit.com.ar/,4.5,32,True,Software company
IT Rock | Desarrollo Software,ar,tech_companies,technology-digital,Bonpland 1281 Piso 8,"Bonpland 1281 Piso 8, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.587075999999996,-58.441447499999995,+54 11 2790-7304,https://www.itrock.com.ar/,4.7,45,True,Software company
Intway Desarrollo de Software,ar,tech_companies,technology-digital,Padilla 422,"Padilla 422, C1414AGF Cdad. Autónoma de Buenos Aires, Argentina",-34.6019602,-58.4407931,+54 9 11 5938-4797,https://www.intway.com.ar/,5,11,True,Software company
Desarrollo de Apps y Sistemas - IT Oeste,ar,tech_companies,technology-digital,Av. Rivadavia 4975,"Av. Rivadavia 4975, C1424 Cdad. Autónoma de Buenos Aires, Argentina",-34.617898,-58.4360504,+54 11 4493-5013,http://itoeste.com/#GMB,4.7,27,True,Software company
Euda | Software Development Outsourcing Services,ar,tech_companies,technology-digital,Concepción Arenal 2627,"Concepción Arenal 2627, C1426DGA C1426DGA, Cdad. Autónoma de Buenos Aires, Argentina",-34.5761591,-58.439355899999995,,https://www.eudaimonia.com.ar/,4.9,8,True,Software company
Softland Argentina S.A.,ar,tech_companies,technology-digital,Av del Libertador 6343,"Av del Libertador 6343, Piso 11,1428, C.A.B.A, C1428 Cdad. Autónoma de Buenos Aires, Argentina",-34.5533575,-58.4502385,+54 11 4789-7600,https://softland.com.ar/,4.1,63,True,Software company
Software Mind,ar,tech_companies,technology-digital,Cnel. Niceto Vega 4736,"Cnel. Niceto Vega 4736, C1414 Cdad. Autónoma de Buenos Aires, Argentina",-34.5928197,-58.4307866,+54 11 4951-9741,https://softwaremind.com/,4.7,18,True,Software company
DevTipa: Desarrollo de Software,ar,tech_companies,technology-digital,Av. Acoyte 480,"Av. Acoyte 480, C1405 Cdad. Autónoma de Buenos Aires, Argentina",-34.6132881,-58.4383348,+54 11 4902-5544,,3.7,3,False,Software company
