name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Clínica MedPaulista,br,clinics,health-wellness,R. Teixeira da Silva,"R. Teixeira da Silva, 34 - cj 73 - Bela Vista, São Paulo - SP, 04002-030, Brazil",-23.568764299999998,-46.6460432,+55 11 3287-3552,,4.6,50,False,Medical office
Clínica Médica Ibirapuera,br,clinics,health-wellness,R. Maestro Cardim,"R. Maestro Cardim, 407 - Bela Vista, São Paulo - SP, 01323-000, Brazil",-23.5647341,-46.6411431,+55 11 3170-7070,http://www.cmibirapuera.com.br/,5,11,True,Medical clinic
Med São Paulo - Medical Center - Dentistry,br,clinics,health-wellness,Av. Celso Garcia,"Av. Celso Garcia, 488 - Brás, São Paulo - SP, 03014-000, Brazil",-23.539333,-46.607634,+55 11 2292-8080,http://www.medsaopaulo.com.br/,4.5,201,True,Medical clinic
Clínica Médica Mais,br,clinics,health-wellness,Rua Coronel Oscar Porto,"Rua Coronel Oscar Porto, 691 - Paraíso, São Paulo - SP, 04003-003, Brazil",-23.5750925,-46.6458983,+55 11 3123-4141,https://clinicamais.club/,4,49,True,Skin care clinic
Grupo BR MED,br,clinics,health-wellness,R. Pedro Américo,"R. Pedro Américo, 68 - República, São Paulo - SP, 01045-010, Brazil",-23.541745,-46.6422994,+55 11 3225-9698,http://www.grupobrmed.com.br/,4.9,13268,True,Occupational health service
Instituto Medicina em Foco - Clínica Médica Premium Inclusiva no Coração de São Paulo,br,clinics,health-wellness,Edf. Crystal Tower,"Edf. Crystal Tower, R. Frei Caneca, 1380 - Térreo - Consolação, São Paulo - SP, 01307-002, Brazil",-23.558401099999998,-46.6585095,+55 11 3289-3195,https://emfoco.med.br/?utm_source=gbp,4.9,984,True,Specialized clinic
Clínica De Especialidades Médicas,br,clinics,health-wellness,Rua Inglês de Sousa,"Rua Inglês de Sousa, 393 - C1 - Jardim da Gloria, São Paulo - SP, 01546-010, Brazil",-23.577272,-46.6222831,+55 11 2769-8060,,5,1,False,Medical clinic
Unidade Medica Paulista,br,clinics,health-wellness,Av. Tucuruvi,"Av. Tucuruvi, 75 - 1 andar - Tucuruvi, São Paulo - SP, 02340-000, Brazil",-23.477618099999997,-46.609944399999996,+55 11 2281-0040,http://clinicaumep.com.br/,3.3,62,True,Hospital
Clínica Primazie,br,clinics,health-wellness,R. Afonso de Freitas,"R. Afonso de Freitas, 377 - Paraíso, São Paulo - SP, 04006-051, Brazil",-23.5758322,-46.645438399999996,+55 11 4563-3475,https://www.clinicaprimazie.com.br/,4.9,629,True,Medical Center
Clinic Medical Vila Alpina,br,clinics,health-wellness,R. Costa Barros,"R. Costa Barros, 505 - Vila Alpina, São Paulo - SP, 03210-000, Brazil",-23.597554,-46.560351,+55 11 2917-1717,http://www.clinicaalpina.com.br/,4.3,1731,True,Hospital
