name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
SABZ Advogados,br,lawyers,b2b-professional,Av. Brasil,"Av. Brasil, 842 - Jardim America, São Paulo - SP, 01430-000, Brazil",-23.5732951,-46.6672814,+55 11 3111-2233,http://www.sabz.com.br/,4.9,51,True,Legal services
Advcavalcanti,br,lawyers,b2b-professional,Rua Coronel Oscar Porto,"Rua Coronel Oscar Porto, 813 - conjunto 13 - Paraíso, São Paulo - SP, 04003-004, Brazil",-23.5761188,-46.6455127,+55 11 95555-5786,http://www.advcavalcanti.com/,5,830,True,Criminal justice attorney
Pinheiro Neto Advogados,br,lawyers,b2b-professional,R. Hungria,"R. Hungria, 1100 - Jardim Europa, São Paulo - SP, 01455-906, Brazil",-23.577805299999998,-46.6943377,+55 11 3247-8400,https://www.pinheironeto.com.br/,4.7,467,True,Attorney
Law Offices of Baracchini & Associates,br,lawyers,b2b-professional,Av. Paulista,"Av. Paulista, n° 1.439 - 1º andar - CJ.12, São Paulo - SP, 01311-200, Brazil",-23.5713358,-46.6446095,+55 11 4837-5713,http://braziluslaw.com/,4.8,50,True,Law firm
Brasilvisa - Especialistas em Direito Internacional e Migratório,br,lawyers,b2b-professional,Rua Hugo D'Antola,"Rua Hugo D'Antola, 146 - Piso superior, Sala B, Lapa, São Paulo, 05038-090, Brazil",-23.5112792,-46.7038163,+55 11 2893-6492,https://brasillvisa.com.br/,4.9,85,True,Legal services
Lawyer in Brazil - Dr. Mauricio Ejchel,br,lawyers,b2b-professional,Avenida Marques de São Vicente 446 - 706 446 - 706,"Avenida Marques de São Vicente 446 - 706 446 - 706, Barra Funda, São Paulo - SP, 01139-000, Brazil",-23.5214468,-46.6603855,+55 11 98433-5841,https://www.internationallawyerbrazil.com/,4.6,127,True,Law firm
/asbz,br,lawyers,b2b-professional,Av. Dr. Cardoso de Melo,"Av. Dr. Cardoso de Melo, 1855 - 9º e 10º andares - Vila Olímpia, São Paulo - SP, 04548-903, Brazil",-23.5958275,-46.6911074,+55 11 3145-6000,http://www.asbz.com.br/,4.6,51,True,Attorney
Oliveira Lawyers,br,lawyers,b2b-professional,Rua Senador Paulo Egídio,"Rua Senador Paulo Egídio, 72 - Conj. 1204 - Sé, São Paulo - SP, 01006-010, Brazil",-23.5494244,-46.636307099999996,+55 11 4349-1915,https://oliveiralawyers.com/about/headquarters-sao-paulo/,5,155,True,Law firm
KLA - Koury Lopes Advogados,br,lawyers,b2b-professional,Av. Brig. Faria Lima,"Av. Brig. Faria Lima, 1355 - 18º andar - Pinheiros, São Paulo - SP, 01452-919, Brazil",-23.5693867,-46.6912642,+55 11 3799-0000,http://www.klalaw.com.br/,4.8,65,True,Law firm
Ruysam Advogados Associados,br,lawyers,b2b-professional,Av. Paulista,"Av. Paulista, 1765 - 17º andar - conj. 72 - Bela Vista, São Paulo - SP, 01311-200, Brazil",-23.560763599999998,-46.6578485,+55 11 4590-0153,https://ruysam.adv.br/new/,4.9,289,True,Legal services
