name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Fortes Tecnologia —São Paulo,br,tech_companies,technology-digital,R. Cincinato Braga,"R. Cincinato Braga, 59 - Cj. 5B1 - Bela Vista, São Paulo - SP, 01333-011, Brazil",-23.570042299999997,-46.6444579,+55 11 2189-0233,https://www.fortestecnologia.com.br/,5,10,True,Software company
Tecnologia Única,br,tech_companies,technology-digital,R. Luigi Galvani,"R. Luigi Galvani, 42 - 12º andar - Itaim Bibi, São Paulo - SP, 04575-020, Brazil",-23.6092415,-46.6932842,+55 11 5239-6031,https://tecnologiaunica.com.br/,4.8,33,True,Software company
ISH Technology - Sao Paulo,br,tech_companies,technology-digital,Edifício Vista Nações Unidas,"Edifício Vista Nações Unidas, R. Surubim, 550 - 10º andar - Cidade Monções, São Paulo - SP, 04571-050, Brazil",-23.6005468,-46.6943202,+55 11 4097-4080,https://ish.com.br/,4.9,49,True,Computer consultant
Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,br,tech_companies,technology-digital,Rua Pedro de Toledo,"Rua Pedro de Toledo, 983 - Vila Clementino, São Paulo - SP, 04039-032, Brazil",-23.5985069,-46.6463786,,,4.9,21,False,Software company
Finnet S / A - Technology,br,tech_companies,technology-digital,R. Pamplona,"R. Pamplona, 145 - Jardim Paulista, São Paulo - SP, 01405-900, Brazil",-23.559981,-46.6514153,+55 11 3882-9200,https://finnet.com.br/,4.7,109,True,Software company
Broadtec Tecnologia e Serviços,br,tech_companies,technology-digital,R. Bernardo Magalhães,"R. Bernardo Magalhães, 140 - Tatuapé, São Paulo - SP, 03067-060, Brazil",-23.536877999999998,-46.570422199999996,+55 11 2092-7096,http://www.broadtec.com.br/,4.8,28,True,Software company
TRIYO TECNOLOGIA DA INFORMAÇÃO LTDA,br,tech_companies,technology-digital,Rua Pedro de Toledo,"Rua Pedro de Toledo, 130 - Vila Clementino, São Paulo - SP, 04039-000, Brazil",-23.5982284,-46.638052099999996,+55 11 2391-2040,http://triyo.com.br/,4.9,18,True,Software company
Think Digital - Empresa de Tecnologia em São Paulo,br,tech_companies,technology-digital,R. Tamoios,"R. Tamoios, 246 - Jardim Aeroporto, São Paulo - SP, 04630-000, Brazil",-23.6305801,-46.66487,+55 11 93056-8562,http://www.thinkdigital.com.br/,5,19,True,Software company
MTP - Methods and Technology Systems and Processes Inc.,br,tech_companies,technology-digital,Rua Vergueiro,"Rua Vergueiro, 1061 - 14º andar - Liberdade, São Paulo - SP, 01504-001, Brazil",-23.571510999999997,-46.6393488,+55 11 5525-0650,https://mtp.com.br/,4.7,33,True,Computer consultant
Cardoso Tecnologia,br,tech_companies,technology-digital,Av. Paulista 1106 Sala 01 Andar 16,"Av. Paulista 1106 Sala 01 Andar 16, Bela Vista, São Paulo - SP, 01310-914, Brazil",-23.564134199999998,-46.652495699999996,+55 79 99819-9929,https://cardosotecnologia.com/,5,1,True,Software company
