name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
São Paulo Veterinary Hospital,br,veterinarians,pets-animals,Av. Nordestina,"Av. Nordestina, 581 - Vila Americana, São Paulo - SP, 08021-000, Brazil",-23.4981209,-46.4407654,+55 11 2533-0000,https://hovetsp.com.br/,4.5,2489,True,Animal hospital
Vet Domus | Centro Veterinário 24H,br,veterinarians,pets-animals,R. Cipriano Juca,"R. Cipriano Juca, 61 - Pinheiros, São Paulo - SP, 05436-120, Brazil",-23.5535677,-46.685806899999996,+55 11 3034-0373,https://vetdomus.com.br/,4.8,388,True,Veterinarian
Wildvet Clínica Veterinária,br,veterinarians,pets-animals,R. Prof. Vahia de Abreu,"R. Prof. Vahia de Abreu, 514 - Itaim Bibi, São Paulo - SP, 04549-002, Brazil",-23.601885799999998,-46.679477,+55 11 3045-0045,http://www.wildvet.com.br/,4.7,1016,True,Veterinarian
Hospital Veterinário Saúde - Clínica Pet - Pronto Socorro 24 horas,br,veterinarians,pets-animals,R. Nossa Sra. da Saúde,"R. Nossa Sra. da Saúde, 366 - Jardim Previdencia, São Paulo - SP, 04159-000, Brazil",-23.6229274,-46.616691499999995,+55 11 5594-1758,https://hospitalveterinariosaude.com.br/,4.4,589,True,Veterinarian
Hospital Veterinário 24h na Mooca SP - Vet Paulistano,br,veterinarians,pets-animals,Av. Paes de Barros,"Av. Paes de Barros, 1172 - Alto da Mooca, São Paulo - SP, 03114-900, Brazil",-23.5649886,-46.596069,+55 11 2601-0006,https://paulistanovet.com.br/,4.7,1108,True,Veterinarian
Veterinary clinic Vetmasters,br,veterinarians,pets-animals,Av. Pacaembu,"Av. Pacaembu, 1166 - Perdizes, São Paulo - SP, 01234-001, Brazil",-23.5363951,-46.6634831,+55 11 3088-1845,http://www.vetmasters.com.br/,4.7,885,True,Veterinary care
Zoovet 24 horas,br,veterinarians,pets-animals,R. Marselhesa,"R. Marselhesa, 333 - Vila Mariana, São Paulo - SP, 04020-060, Brazil",-23.5950456,-46.6408419,+55 11 5573-1222,https://zoovet.com.br/,4.2,825,True,Animal hospital
VET SP Clinica Veterinária,br,veterinarians,pets-animals,Av. José Maria Whitaker,"Av. José Maria Whitaker, 821 - Planalto Paulista, São Paulo - SP, 04057-000, Brazil",-23.607954,-46.6470215,+55 11 2389-3031,https://www.vetsp.com.br/,4.9,311,True,Veterinary care
Animal Life | Hospital Veterinário no Morumbi - SP | Veterinários 24 Horas,br,veterinarians,pets-animals,R. Clarindo,"R. Clarindo, 27 - Vila Andrade, São Paulo - SP, 05718-300, Brazil",-23.6367594,-46.736384199999996,+55 11 3774-0203,http://animalife.com.br/,4.8,503,True,Veterinarian
Centro Veterinário Petiva | Clínica Veterinária em Vila Buarque | Veterinários em SP,br,veterinarians,pets-animals,R. Santa Isabel,"R. Santa Isabel, 68 - Vila Buarque, São Paulo - SP, 01221-010, Brazil",-23.5425753,-46.6462232,+55 11 3223-3022,http://www.petiva.com.br/,4.5,368,True,Veterinarian
São Cão Milo Clínica Veterinária 24 Horas - Ipiranga,br,veterinarians,pets-animals,Praça Min. Fagundes de Almeida,"Praça Min. Fagundes de Almeida, 40 - B - Ipiranga, São Paulo - SP, 04261-120, Brazil",-23.5826755,-46.612252299999994,+55 11 2272-4869,https://veterinariasaocaomilo.com/,4.5,108,True,Veterinarian
Salva Pet Veterinária 24H,br,veterinarians,pets-animals,Rua Lacônia,"Rua Lacônia, 82 - Vila Alexandria, São Paulo - SP, 04634-050, Brazil",-23.636713399999998,-46.666908199999995,+55 11 94373-7255,https://salvapetsp.com.br/,4.4,434,True,Veterinarian
Butantan Vet,br,veterinarians,pets-animals,R. Alvarenga,"R. Alvarenga, 1592 - Butantã, São Paulo - SP, 05509-003, Brazil",-23.567643399999998,-46.7115563,+55 11 3914-7500,https://butantan.vet/,4.9,404,True,Veterinarian
Amah Vet Clínica Veterinária - Unidade Tatuapé,br,veterinarians,pets-animals,R. Cel. Joaquim Antônio Dias,"R. Cel. Joaquim Antônio Dias, 332 - Vila Azevedo, São Paulo - SP, 03308-030, Brazil",-23.542764299999998,-46.5737807,+55 11 2092-4243,https://www.amah.vet/,4.7,646,True,Veterinarian
Clínica Veterinária Frei Caneca,br,veterinarians,pets-animals,R. Frei Caneca,"R. Frei Caneca, 390 - Consolação, São Paulo - SP, 01307-000, Brazil",-23.552672299999998,-46.6513772,+55 11 3231-0665,http://www.clinicafreicaneca.com.br/,4.7,523,True,Veterinarian
Clínica Safari - Medicina Veterinária Especializada,br,veterinarians,pets-animals,Av. Indianópolis,"Av. Indianópolis, 2291 - Indianópolis, São Paulo - SP, 04063-004, Brazil",-23.6181336,-46.6481688,+55 11 5589-4338,http://clinicasafari.com.br/,4.5,612,True,Veterinarian
Animal Center São Paulo,br,veterinarians,pets-animals,Estrada do M'Boi Mirim,"Estrada do M'Boi Mirim, 2084 - Jardim das Flores, São Paulo - SP, 04905-001, Brazil",-23.675717199999998,-46.7517259,+55 11 2129-6500,http://www.animalcentersp.com.br/,4.5,1000,True,Animal hospital
Veterinário,br,veterinarians,pets-animals,R. Batataes,"R. Batataes, 309 - Jardim Paulista, São Paulo - SP, 01423-010, Brazil",-23.5711202,-46.6566748,+55 11 99959-8331,https://www.telelistas.net/locais/sp/sao+paulo/veterinarios/bu-5692869/veterinario+em+domicilio+em+jardim+paulista,5,91,True,Veterinarian
Pet Care Hospital Veterinário - Unidade Morumbi,br,veterinarians,pets-animals,Av. Giovanni Gronchi,"Av. Giovanni Gronchi, 3001 - Morumbi, São Paulo - SP, 05651-002, Brazil",-23.607985199999998,-46.7251913,+55 11 4673-0060,http://www.petcare.com.br/,4.5,1249,True,Veterinarian
Vet Quality Hospital Veterinário 24h,br,veterinarians,pets-animals,R. Vieira de Morais,"R. Vieira de Morais, 1862 - Campo Belo, São Paulo - SP, 04617-007, Brazil",-23.6265598,-46.665648,+55 11 5097-9642,https://www.vetquality.com.br/,4.2,875,True,Animal hospital
