name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
CambioDeNombreAbogados,cl,lawyers,b2b-professional,Región Metropolitana,"Huérfanos 1117, oficina 1118, 8320000 Santiago, Región Metropolitana, Chile",-33.4397328,-70.6527973,+56 9 4214 1600,http://www.cambiodenombreabogados.cl/,4.9,161,True,Law firm
"Mesa Legal Abogados Laboral, penal, Familia",cl,lawyers,b2b-professional,Región Metropolitana,"Valentín Letelier 1392, oficina 52, 8340668 Santiago, Región Metropolitana, Chile",-33.443624299999996,-70.6556378,+56 9 5012 4153,https://mesalegal.cl/,5,15,True,Law firm
Digital Abogados Chile,cl,lawyers,b2b-professional,Región Metropolitana,"Av. Providencia 1208, 7500593 Providencia, Región Metropolitana, Chile",-33.428974,-70.6212097,+56 9 8829 8708,http://www.digitalabogados.com/,4.8,138,True,Employment attorney
Abogado de Herencias en Chile,cl,lawyers,b2b-professional,,,-31.2124168,-70.03731789999999,+56 9 2258 6990,https://herenciasenchile.cl/abogados-herencias/?utm_source=google%20my%20business&utm_medium=organico&utm_campaign=google_my_business,5,224,True,Attorney
Schneider Abogados - Estudio Jurídico,cl,lawyers,b2b-professional,Región Metropolitana,"Nueva Tajamar 481, Oficina 2102, Torre Norte World Trade Center Santiago, 7550594 Las Condes, Región Metropolitana, Chile",-33.4162344,-70.60550789999999,+56 2 3267 1946,https://www.schneiderabogados.cl/,4.8,143,True,Law firm
Lex Juicios Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"de Chile, Enrique Foster Sur 39 y El Golf 40, Las Condes, 8320263 Santiago, Las Condes, Región Metropolitana, Chile",-33.4165969,-70.5941591,+56 9 2688 7712,https://www.lexjuicios.cl/,4.5,218,True,Law firm
Estudio Jurídico Araya Arancibia & Asociados,cl,lawyers,b2b-professional,Región Metropolitana,"Fábrica 1808, Oficina 9, 8370796 Santiago, Región Metropolitana, Chile",-33.4704799,-70.6570696,+56 9 5869 2666,https://www.caaestudiojuridico.cl/,5,42,True,Barrister
Misabogados,cl,lawyers,b2b-professional,Región Metropolitana,"Av. Apoquindo N° 6550, of 205, 7560903 Las Condes, Región Metropolitana, Chile",-33.407316,-70.5629936,+56 2 2940 2199,https://www.misabogados.com/,4.7,651,True,Legal services
G&B Abogados - Santiago Chile,cl,lawyers,b2b-professional,Región Metropolitana,"Sta. Magdalena 75, Oficina 304, 7510057 Providencia, Santiago, Región Metropolitana, Chile",-33.4206016,-70.6094736,+56 9 7663 7035,https://garcesybaeza.cl/,5,43,True,Family law attorney
Nelson Salas Stevens Abogado Penalista,cl,lawyers,b2b-professional,Región Metropolitana,"Cerro El Plomo 5420, Oficina 1107, 7560742 Las Condes, Región Metropolitana, Chile",-33.4057396,-70.5749252,+56 9 7608 3347,https://sycabogados.cl/,5,129,True,Law firm
Pro Solución Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"P.º Matías Cousiño 64, OF 707, 1030000 Santiago, Región Metropolitana, Chile",-33.4422648,-70.6497588,+56 9 6446 9092,https://www.prosolucion.cl/,4.9,74,True,Attorney
Juicio Simple,cl,lawyers,b2b-professional,Región Metropolitana,"Huérfanos 1147, of 1025, 8320000 Santiago, Región Metropolitana, Chile",-33.4396268,-70.6528618,+56 9 9415 4726,http://www.juiciosimple.com/,5,106,True,General practice attorney
Estudio Jurídico Lex Litis Celis & Muñoz,cl,lawyers,b2b-professional,Región Metropolitana,"Dr. Sótero del Río 508, Oficina 831, 8340297 Santiago, Región Metropolitana, Chile",-33.4375435,-70.6548344,+56 9 4573 6231,http://www.lexlitis.cl/,5,12,True,Legal services
Becker Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"Av. Apoquindo 4700, piso 11, 7560969 Las Condes, Región Metropolitana, Chile",-33.4123709,-70.580703,+56 2 2882 0057,https://www.beckerabogados.cl/contacto,5,251,True,Law firm
Abogados de Confianza,cl,lawyers,b2b-professional,Región Metropolitana,"Miguel Claro 195, Oficina 704, 7500611 Providencia, Región Metropolitana, Chile",-33.4316944,-70.6209432,+56 9 4267 5862,http://www.abogadosdeconfianza.cl/,5,262,True,Law firm
ABOGADOS Alianza Jurídica,cl,lawyers,b2b-professional,Región Metropolitana,"Paseo Ahumada 312, Oficina 304, Piso 3, 8320185 Santiago, Región Metropolitana, Chile",-33.439404599999996,-70.65114799999999,+56 9 4012 4981,https://www.alianzajuridica.cl/,4.9,57,True,Law firm
JS Abogados.cl I Estudio Jurídico boutique,cl,lawyers,b2b-professional,Región Metropolitana,"Cerro El Plomo 5931, 7508050 Las Condes, Región Metropolitana, Chile",-33.4047432,-70.5702077,+56 9 5945 8569,https://www.jsabogados.cl/es/,5,38,True,Employment attorney
Estudio Jurídico AIJ Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"Calle Victoria Subercaseaux 69 oficina 604, 8320154 Santiago, Región Metropolitana, Chile",-33.440422999999996,-70.642051,+56 9 7373 2844,https://www.aijabogados.cl/,4.6,40,True,Law firm
Wolfenson Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"Av. El Golf 40, Piso 12, 7550107 Las Condes, Región Metropolitana, Chile",-33.4151273,-70.59221769999999,+56 9 9884 1289,http://www.wolfenson.cl/,4,409,True,Law firm
Defensa Estratégica Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"Av. Vicuña Mackenna 327, oficina 1225, 8320000 Santiago, Región Metropolitana, Chile",-33.445911699999996,-70.633344,+56 9 4570 0453,http://www.oycia.cl/,5,67,True,Employment attorney
Abogado Penalista FC,cl,lawyers,b2b-professional,Región Metropolitana,"Huérfanos 1011, of. 521, 8320186 Santiago, Región Metropolitana, Chile",-33.4394445,-70.65120379999999,+56 9 8662 7380,https://www.abogadopenalistafc.cl/,5,36,True,Criminal justice attorney
"Soluciones Judiciales, Abogados en Santiago",cl,lawyers,b2b-professional,Región Metropolitana,"Agustinas 972, oficina 512, 8320236 Santiago, Región Metropolitana, Chile",-33.4408546,-70.6503412,+56 2 2638 1034,http://www.solucionesjudiciales.cl/,4.4,15,True,Law firm
"Recurso Legal, Abogados Penalistas, Abogado en Civil, Estudio Jurídico",cl,lawyers,b2b-professional,Región Metropolitana,"calle fabrica, Av. Rondizzoni 1995, oficina 25, 2820000 Santiago, Región Metropolitana, Chile",-33.4729786,-70.6572535,+56 9 8731 3951,https://recursolegalabogados.cl/,5,97,True,Criminal justice attorney
Estudio Legal San Miguel,cl,lawyers,b2b-professional,Región Metropolitana,"Gran Av. José Miguel Carrera 3840, oficina 803, 8900132 San Miguel, Región Metropolitana, Chile",-33.4894721,-70.650606,+56 9 4242 8195,https://estudiolegalsm.cl/,4.9,197,True,Family law attorney
Uribe abogados Laborales,cl,lawyers,b2b-professional,Región Metropolitana,"Huérfanos 779, oficina 202, 8320167 Santiago, Región Metropolitana, Chile",-33.439038599999996,-70.64803119999999,+56 9 5012 4153,https://uribeabogadoslaborales.cl/,4.9,58,True,Employment attorney
CU Abogados / Estudio Jurídico,cl,lawyers,b2b-professional,Región Metropolitana,"Tenderini 85, 8320264 Santiago, Región Metropolitana, Chile",-33.4417737,-70.64708759999999,+56 9 6208 4542,http://www.cuabogados.cl/,5,86,True,Attorney
Bloomfield y Cía. Abogados,cl,lawyers,b2b-professional,Región Metropolitana,"Dr. Sótero del Río 508, Oficina 219, 8340297 Santiago, Región Metropolitana, Chile",-33.4376111,-70.6548195,+56 9 5167 4352,,5,39,False,Law firm
Abogado Laboral Chile,cl,lawyers,b2b-professional,Región Metropolitana,"Compañía de Jesus 1390, Oficina 2004, piso 20, 8340395 Santiago, Región Metropolitana, Chile",-33.4391026,-70.6565198,+56 2 2698 1840,https://www.abogadolaboralchile.cl/,4.8,17,True,Employment attorney
