name,country,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
"SEiT S.p.A., Especialistas en Outsourcing TI",cl,tech_companies,technology-digital,Región Metropolitana,"Av. Las Condes 7700, Of 1002-A, 7560380 Las Condes, Región Metropolitana, Chile",-33.400447199999995,-70.5542948,+56 2 2581 2370,https://www.seit.cl/,4.6,16,True,Computer security service
tichile,cl,tech_companies,technology-digital,Región Metropolitana,"Dr. Manuel Barros Borgoño 71, of 1105, 7500593 Providencia, Región Metropolitana, Chile",-33.4296463,-70.6190099,+56 2 2570 9294,https://www.tichile.cl/,5,18,True,Computer support and services
Logiciel Chile S.A.,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Pedro de Valdivia 5841, 7810356 Macul, Región Metropolitana, Chile",-33.477441,-70.60604459999999,+56 2 2694 3900,http://logiciel.cl/,4.8,12,True,Computer networking service
Asoc Chilena de Empresas de Tecnologías de Información A G,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Apoquindo 5950, piso 20 oficina 102, 7560932 Las Condes, Región Metropolitana, Chile",-33.4088032,-70.5689733,+56 2 2959 9200,http://www.acti.cl/,4.4,8,True,Computer consultant
Trebol-IT S.A.,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Apoquindo 4499, of.1201 Piso 12, 7580151 Santiago, Las Condes, Región Metropolitana, Chile",-33.414498099999996,-70.5832638,+56 2 2362 8800,https://www.trebol-it.com/,4.8,20,True,Software company
Information Technology Limitada,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Grecia #604 - Ñuñoa, Santiago, Ñuñoa, Región Metropolitana, Chile",-33.457637999999996,-70.6240424,+56 2 2225 1001,http://www.i-technology.cl/,4.2,10,True,Computer consultant
IBM Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Providencia 655, 7500669 Santiago, Providencia, Región Metropolitana, Chile",-33.4336233,-70.6257474,+56 2 2200 6000,http://www.ibm.cl/,4.5,385,True,Computer consultant
Technology and Systems Development SpA.,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Rodrigo de Araya 1263, Macul, Región Metropolitana, Chile",-33.4751349,-70.61921629999999,+56 2 2397 1000,http://www.dts.cl/,4.6,66,True,Services
Asysa Integral Computers,cl,tech_companies,technology-digital,Región Metropolitana,"San Antonio 486, Of.113, 8320121 Santiago, Región Metropolitana, Chile",-33.4371714,-70.64861259999999,,http://www.asysa.cl/,5,20,True,Computer support and services
Technosystems Chile Ltda.,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Francisco Bilbao 268, 7500957 Providencia, Santiago, Región Metropolitana, Chile",-33.4422563,-70.6288655,+56 2 2328 8900,http://www.technosystems.cl/,4.2,36,True,Computer support and services
Southern Technology Group LTDA | STG Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Américo Vespucio 991, 7550373 Las Condes, Región Metropolitana, Chile",-33.423390999999995,-70.5798853,+56 2 2392 5000,,4.3,28,False,Software company
LifeMax - Tecnologia + Servicio Tecnico,cl,tech_companies,technology-digital,Región Metropolitana,"San Diego 144, Local 15, 8330214 Santiago, Región Metropolitana, Chile",-33.4466041,-70.6507408,+56 9 6626 3774,https://www.lifemaxstore.cl/,4.3,283,True,Computer store
Grupotech - Innovate Solutions,cl,tech_companies,technology-digital,Región Metropolitana,"Avda Liber Bernardo O`Higgins 949 of. 1403, Santiago Centro, Santiago, Región Metropolitana, Chile",-33.4409451,-70.64955379999999,+56 2 2869 1746,https://www.grupotech.cl/,5,5,True,Computer consultant
Tecnologias Mix,cl,tech_companies,technology-digital,Región Metropolitana,"Morandé 835, 8340000 Santiago, Región Metropolitana, Chile",-33.434063099999996,-70.6543492,+56 9 4787 0873,http://www.tecnologiasmix.cl/,5,3,True,Electronics company
Technology & Bits SpA,cl,tech_companies,technology-digital,Región Metropolitana,"San Diego 993, 8330938 Santiago, Región Metropolitana, Chile",-33.4584878,-70.64943079999999,+56 9 8250 4184,https://www.tecnobits.cl/,4.7,178,True,Electronics company
Option,cl,tech_companies,technology-digital,Región Metropolitana,"Cerro El Plomo 5420, LC S 01-02, 7560742 Santiago, Las Condes, Región Metropolitana, Chile",-33.4057491,-70.5749025,+56 2 2887 3700,https://www.option.tech/,4.9,9,True,Software company
St Computacion,cl,tech_companies,technology-digital,Región Metropolitana,"Enrique Mac Iver 125, piso 8, 8320218 Santiago, Región Metropolitana, Chile",-33.441282699999995,-70.64630009999999,+56 2 2361 0811,https://www.st-computacion.com/,4.2,21,True,Computer service
Tisal S.A. - Tecnologías de la Información en Salud,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Pedro de Valdivia 33, 7501012 Providencia, Región Metropolitana, Chile",-33.4241887,-70.6123621,,http://www.tisal.cl/,4.3,12,True,Software company
Valuetech,cl,tech_companies,technology-digital,Región Metropolitana,"Antonia López de Bello 172, 8420477 Santiago, Recoleta, Región Metropolitana, Chile",-33.4318577,-70.6406964,+56 2 2390 5600,https://www.valuetech.cl/,4.5,22,True,Software company
Sonda,cl,tech_companies,technology-digital,Región Metropolitana,"Teatinos 500, 8340261 Santiago, Región Metropolitana, Chile",-33.437468599999995,-70.6558043,+56 2 2657 5000,https://www.sonda.com/,4.3,423,True,Software company
Bd Tecnologia Spa,cl,tech_companies,technology-digital,Región Metropolitana,"Zenteno 970, 8331092 Santiago, Región Metropolitana, Chile",-33.4580674,-70.6508401,+56 9 3693 9713,http://www.bdtec.cl/,5,2,True,Automation company
Techcenter,cl,tech_companies,technology-digital,Región Metropolitana,"San Diego 335, 8320000 Santiago, Región Metropolitana, Chile",-33.449791999999995,-70.6508387,+56 9 7779 8385,http://www.techcenter.cl/,4.8,72,True,Electronics company
Alltec,cl,tech_companies,technology-digital,Región Metropolitana,"San Diego 971, 8330938 Santiago, Región Metropolitana, Chile",-33.4582562,-70.6494654,+56 2 2671 5800,https://www.alltec.cl/,4.5,440,True,Computer store
Informat S.A - a SaaS Company,cl,tech_companies,technology-digital,Región Metropolitana,"Av Vitacura 2771, 7550136 Santiago, Las Condes, Región Metropolitana, Chile",-33.4149674,-70.6037051,+56 2 2484 2450,https://www.informat.cl/,4.3,12,True,Computer consultant
Tecnotodo,cl,tech_companies,technology-digital,Región Metropolitana,"San Ignacio de Loyola 633, oficina 912, 8330691 Santiago, Región Metropolitana, Chile",-33.4539477,-70.6559472,+56 9 9856 8107,https://tecnotodo.cl/contact/,3.8,96,True,Computer hardware manufacturer
Sistemas Expertos E Ingenieria De Software Limitad,cl,tech_companies,technology-digital,Región Metropolitana,"José Miguel de la Barra 480, Oficina 501, Santiago, Región Metropolitana, Chile",-33.4368522,-70.6436263,+56 2 3202 4575,http://www.sistemasexpertos.cl/,5,7,True,Software company
Netgroup Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Contramaestre Micalvi 75, 7760039 Santiago, Ñuñoa, Región Metropolitana, Chile",-33.4566088,-70.57896,+56 2 2412 5999,http://www.netgroup.cl/,4.2,19,True,Computer repair service
Sistemas Digitales Newtec,cl,tech_companies,technology-digital,Región Metropolitana,"P.º Bulnes 216, Of 902, 8330324 Santiago, Región Metropolitana, Chile",-33.448824699999996,-70.6524915,+56 9 8409 2038,http://www.newtec.cl/,4.5,2,True,Computer support and services
DataWolke,cl,tech_companies,technology-digital,Región Metropolitana,"Monjitas 565, piso, 5, Santiago, Región Metropolitana, Chile",-33.4366199,-70.64530169999999,+56 9 5659 1419,http://www.datawolke.com/,5,5,True,Computer support and services
Soporta Ltda,cl,tech_companies,technology-digital,Región Metropolitana,"Fanor Velasco 85, Oficina 804, 8340532 Santiago, Región Metropolitana, Chile",-33.4429784,-70.65958789999999,+56 9 4020 5678,https://www.soporta.cl/,4.2,13,True,Software company
Globalbox spa,cl,tech_companies,technology-digital,Región Metropolitana,"Serrano 73, Oficina 416, 8330128 Santiago, Región Metropolitana, Chile",-33.4453858,-70.64930149999999,+56 2 6469 0523,https://globalbox.cl/,4.8,51,True,Computer store
PC Factory Huerfanos,cl,tech_companies,technology-digital,Región Metropolitana,"Huérfanos 1081, 8320186 Santiago, Región Metropolitana, Chile",-33.4395862,-70.6520551,+56 2 2560 0000,https://www.pcfactory.cl/,4.1,4687,True,Computer store
Ingeniería y soluciones informáticas,cl,tech_companies,technology-digital,Región Metropolitana,"Moneda 920, 8320000 of#105, Santiago, Región Metropolitana, Chile",-33.442081099999996,-70.6497948,+56 2 2672 9447,https://www.tecnofull.cl/,3.6,641,True,Computer store
Tecnova IT Solutions S.A.,cl,tech_companies,technology-digital,Región Metropolitana,"Eliodoro Yáñez 2239, 7510507 Santiago, Providencia, Región Metropolitana, Chile",-33.4308157,-70.60569029999999,+56 2 2714 0700,https://www.tecnovait.com/,4.5,29,True,Software company
"Aeurus Santiago - Desarrollo de Software, Aplicaciones web y móviles",cl,tech_companies,technology-digital,Región Metropolitana,"Av. Los Leones 220, 7510600 Providencia, Región Metropolitana, Chile",-33.421808899999995,-70.6047961,+56 2 2897 9190,http://www.aeurus.cl/,3.7,3,True,Website designer
Drisoft,cl,tech_companies,technology-digital,Región Metropolitana,"Monjitas 550, 8320000 Santiago, Región Metropolitana, Chile",-33.436794,-70.6451651,+56 9 8300 9924,https://www.agenciadrisoft.cl/,5,68,True,Website designer
DSAC Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Providencia 1208, Oficina 804, 7500571 Providencia, Región Metropolitana, Chile",-33.428976999999996,-70.621146,+56 9 8851 9109,https://dsacchile.cl/,4.9,9,True,Software company
Desarrollo web - Empresa de servicios de desarrollo web y programación,cl,tech_companies,technology-digital,Región Metropolitana,"Alonso de Córdova 5870, Of. 724, Las Condes, Región Metropolitana, Chile",-33.407347,-70.570041,+56 9 3510 6900,,5,4,False,Software company
Abstract Software,cl,tech_companies,technology-digital,Región Metropolitana,"Aurelio González 3779, 7630354 Santiago, Vitacura, Región Metropolitana, Chile",-33.4001521,-70.59878379999999,,https://abstract.cl/,5,5,True,Software company
Vambe,cl,tech_companies,technology-digital,Región Metropolitana,"Av Vitacura 2939, Piso 3, Oficina 302, 7550011 Las Condes, Región Metropolitana, Chile",-33.4111622,-70.6022691,+56 9 4973 6923,https://www.vambe.ai/,4,50,True,Software company
Apply Digital,cl,tech_companies,technology-digital,Región Metropolitana,"Santiago Province, Los Conquistadores 1730, Piso 23, Providencia, Región Metropolitana, Chile",-33.422779,-70.621849,+56 2 3324 7626,https://www.applydigital.com/,5,28,True,Software company
Softland Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Séptimo de Línea 1247, 7500562 Providencia, Región Metropolitana, Chile",-33.4282493,-70.62191,+56 600 329 2120,https://www.softland.cl/,3.7,126,True,Software company
Desarrollo de Sistemas Web y Aplicaciones Móviles | Nextstation Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Nueva Providencia 1881, Oficina 505, 7500000 Providencia, Región Metropolitana, Chile",-33.4257833,-70.6139267,+56 9 5394 1965,https://nextstation.cl/,5,3,True,Website designer
Sysnet Chile Ltda.,cl,tech_companies,technology-digital,Región Metropolitana,"Huérfanos 1022, oficina 1404, 8320214 Santiago, Región Metropolitana, Chile",-33.439766999999996,-70.65122099999999,+56 2 2570 8692,http://www.sysnet.cl/empresas,5,7,True,Software company
COMPUTER DESIGN CHILE S.A,cl,tech_companies,technology-digital,Región Metropolitana,"Av. Sta. María 2670, Oficina 201, 7520424 Providencia, Región Metropolitana, Chile",-33.4167133,-70.6096427,+56 9 7877 1353,https://computerdesign.cl/,4.7,20,True,Software company
NetRed Chile,cl,tech_companies,technology-digital,Región Metropolitana,"Francisco Bulnes Correa 2707, 7600231 Las Condes, Región Metropolitana, Chile",-33.4098383,-70.51432559999999,+56 2 2430 0155,https://netred.cl/,4.5,11,True,Software company
