name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Simons Estudio Contable,accountants,b2b-professional,El Productor,"El Productor, Independencia Nacional, Asunción 001101, Paraguay",-25.2870949,-57.636640899999996,+595 981 405334,http://www.simons.com.py/,5,1,True,Bookkeeping service
RB Estudio Contable,accountants,b2b-professional,Juan De Garay 1678,"Juan De Garay 1678, Asunción 001005, Paraguay",-25.288655,-57.6623363,+595 21 328 8737,http://rbestudiocontable.com/,4.3,9,True,Corporate office
ContaClick - Estudio Contable en Asunción,accountants,b2b-professional,Leonismo Paraguayo 370,"Leonismo Paraguayo 370, Asunción 001530, Paraguay",-25.2851033,-57.584257699999995,+595 974 169195,,5,12,False,Bookkeeping service
Estudio Contable Vallejos,accountants,b2b-professional,PC4Q+VQX,"PC4Q+VQX, Eusebio Lillo Robles, Asunción 001409, Paraguay",-25.292757899999998,-57.560522,+595 21 603 320,,4.5,2,False,Accounting firm
Estudio Contable,accountants,b2b-professional,P93P+M4J,"P93P+M4J, 22 De Setiembre, Asunción 001226, Paraguay",-25.295795599999998,-57.614745199999994,,,4.7,3,False,Corporate office
Acm estudio contable,accountants,b2b-professional,Acá Vera 851,"Acá Vera 851, Asunción 001227, Paraguay",-25.3001687,-57.611823799999996,+595 981 102437,,5,4,False,Corporate office
ESTUDIO CONTABLE,accountants,b2b-professional,Asunción 001101,"Asunción 001101, Paraguay",-25.2849465,-57.6328095,+595 981 226765,,5,1,False,Accounting firm
Estudio Contable Evelin Gonzalez,accountants,b2b-professional,Avda 5Bruno Guggiari & Dr. Benigno,"Avda 5Bruno Guggiari & Dr. Benigno, Escobar, Asunción 2800, Paraguay",-25.307071,-57.608798,+595 982 940890,,3.5,2,False,Corporate office
Estudio Contable JF,accountants,b2b-professional,Cerro Corá 1237,"Cerro Corá 1237, Asunción 001220, Paraguay",-25.2901469,-57.6237086,,,5,1,False,Corporate office
Estudio Contable R. Rios,accountants,b2b-professional,Sgto. 1ro. Tomas Lombardo N°389,"Sgto. 1ro. Tomas Lombardo N°389, Asunción 001506, Paraguay",-25.242504099999998,-57.5408566,+595 991 705389,,5,3,False,Accountant
Auditoria General Del Poder Ejecutivo,accountants,b2b-professional,P976+53W,"P976+53W, Asunción 001013, Paraguay",-25.287007,-57.639783599999994,+595 21 493 171,http://www.agpe.gov.py/,4.7,12,True,State government office
HP Auditores & Contadores,accountants,b2b-professional,Jorge Whashington e,"Jorge Whashington e, Av. José Felix Bogado, Asunción 111020, Paraguay",-25.2342168,-57.5337572,+595 21 297 062,,4.9,14,False,Corporate office
BDO PARAGUAY,accountants,b2b-professional,Torre 4,"Torre 4, Piso 15 World Trade Center, Av. Aviadores del Chaco 2050, Asunción, Paraguay",-25.2848069,-57.567259099999994,+595 21 492 242,http://www.bdo.com.py/,4.6,14,True,Corporate office
"AYCA - Auditores & Consultores Asociados, ALLINIAL GLOBAL member",accountants,b2b-professional,Teniente Jara Troche 655,"Teniente Jara Troche 655, Asunción 001210, Paraguay",-25.2853562,-57.610792599999996,+595 21 232 2834,http://www.ayca.com.py/,4.3,9,True,Corporate office
