name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
La Costa,clinics,health-wellness,Av. Gral. José Gervasio Artigas 1500,"Av. Gral. José Gervasio Artigas 1500, Asunción 001202, Paraguay",-25.2729386,-57.607288499999996,+595 21 217 1000,http://www.lacosta.com.py/,4,613,True,Private hospital
CLINICA BONNE SANTE,clinics,health-wellness,Avenida Proceres De Mayo E y Ana Diaz nro,"Avenida Proceres De Mayo E y Ana Diaz nro, Av. Dr. José Gaspar Rodriguez de Francia 242, Asunción, Paraguay",-25.3020586,-57.620726899999994,+595 21 329 0005,http://clinicabonnesante.com.py/,4.9,447,True,Medical Center
Clinica San Nicolás,clinics,health-wellness,Incas 3467,"Incas 3467, Asunción 001426, Paraguay",-25.3194181,-57.5772251,+595 984 102582,https://www.csn.com.py/,4.9,36,True,Medical clinic
Centro Médico Bautista,clinics,health-wellness,Avda. República Argentina y,"Avda. República Argentina y, Campos Cervera 635, Asunción, Paraguay",-25.2993976,-57.578587999999996,+595 21 688 9000,http://www.cmb.org.py/,4.1,361,True,Private hospital
La Costa Lynch,clinics,health-wellness,MCRW+59W,"MCRW+59W, Victor Heyn, Asunción 001418, Paraguay",-25.309431,-57.5540471,+595 21 658 3000,http://www.lacostalynch.com.py/,3.5,236,True,Hospital
Hospital Universitario Ntra. Ms. Asuncion,clinics,health-wellness,Eusebio Lilio,"Eusebio Lilio, Asunción 001409, Paraguay",-25.2926352,-57.5619058,+595 21 729 0042,http://hospitaluniversitario.edu.py/,3.4,110,True,University hospital
Clínica Dr.Valé - Asunción I Consultas médicas y Estudios,clinics,health-wellness,Vice Pdte. Sanchez 491 esquina,"Vice Pdte. Sanchez 491 esquina, Asunción 1535, Paraguay",-25.2956108,-57.613487899999996,+595 971 963000,,4,31,False,Medical clinic
Institute of Tropical Medicine,clinics,health-wellness,PCC4+RPC,"PCC4+RPC, Asunción 001535, Paraguay",-25.277939399999998,-57.593226099999995,+595 21 292 463,http://www.mspbs.gov.py/imt,4.3,172,True,Hospital
Villa Morra Migone clinic,clinics,health-wellness,Ulrico Schmidel esq,"Ulrico Schmidel esq, Asunción 001416, Paraguay",-25.297344199999998,-57.5728333,+595 21 218 2000,https://smm.com.py/,3.7,186,True,Medical Center
Consultorio de especialidades médicas,clinics,health-wellness,Eligio Ayala 1820 c,"Eligio Ayala 1820 c, Asunción 001224, Paraguay",-25.291807499999997,-57.6165697,+595 21 224 368,,4.8,8,False,Medical office
Clínica Santa Maria,clinics,health-wellness,Av. Dr. Guido Boggiani,"Av. Dr. Guido Boggiani, Asunción 001416, Paraguay",-25.2986339,-57.5738802,+595 21 664 664,http://www.clinicasantamaria.com.py/,2.9,26,True,Medical clinic
MEDICALTECH - Centro Paraguayo de Urología y Ginecología,clinics,health-wellness,Azara 1568 Esquina,"Azara 1568 Esquina, Asunción 001224, Paraguay",-25.2928827,-57.620661399999996,+595 976 998064,http://www.medicaltech.com.py/,4.9,41,True,Medical Center
CLÍNICA CRISTAL - Médica y Odontológica,clinics,health-wellness,Mayor Thomas Rufinelli Casi Palo Santo 0981130830 021297146,"Mayor Thomas Rufinelli Casi Palo Santo 0981130830 021297146, Asunción 2050, Paraguay",-25.239627799999997,-57.540410099999995,+595 21 297 146,,4.5,73,False,Medical clinic
Sanatorio Santa Barbara,clinics,health-wellness,Alejandro Ravizza 263,"Alejandro Ravizza 263, Asunción 001519, Paraguay",-25.2585181,-57.5811468,+595 21 299 388,,3.8,99,False,Hospital
CENTRO DE ESPECIALIDADES MÉDICAS,clinics,health-wellness,Brasil 165,"Brasil 165, Asunción 001218, Paraguay",-25.286275,-57.623115999999996,,,3.8,12,False,Doctor
Clínica La Esperanza,clinics,health-wellness,Teodoro S. Mongelós 1833,"Teodoro S. Mongelós 1833, Asunción 001224, Paraguay",-25.2968767,-57.6201109,+595 21 223 738,http://laesperanza.com.py/,4.8,27,True,Medical clinic
La Vero Clinic,clinics,health-wellness,Herrera 933,"Herrera 933, Asunción 001219, Paraguay",-25.2891302,-57.6287806,+595 21 452 400,http://www.lavero.com.py/,4.4,68,True,Medical clinic
Family Clinic CEPEP,clinics,health-wellness,Av. Perú 1284,"Av. Perú 1284, Asunción 001221, Paraguay",-25.299203199999997,-57.6266314,+595 982 283275,https://www.cepep.org.py/clinicas/asuncion/,3.9,94,True,Medical clinic
