name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Gomez Abente Construcciones,construction,trades-home-services,Prof. Emiliano Gómez Rios 1255,"Prof. Emiliano Gómez Rios 1255, Asunción 001527, Paraguay",-25.279437899999998,-57.565316499999994,+595 21 604 960,http://www.gomezabente.com.py/,4.7,133,True,Home builder
AGB Constructora S.A.,construction,trades-home-services,Quesada,"Quesada, Asunción 001412, Paraguay",-25.295857899999998,-57.5786976,+595 21 201 791,,4.9,57,False,Corporate office
TR CONSTRUCCIONES,construction,trades-home-services,E/ Y,"E/ Y, 33 Orientales &, Celsa Speratti, Asunción, Paraguay",-25.3003786,-57.6100615,+595 21 227 921,http://www.trconstrucciones.com.py/,4.2,33,True,Construction company
TECINCI,construction,trades-home-services,Av. Mariscal López 4877,"Av. Mariscal López 4877, Asunción 001407, Paraguay",-25.2992052,-57.567833099999994,+595 981 590000,http://www.tecinci.com.py/,4.7,70,True,Construction company
Dumot Construcciones,construction,trades-home-services,Avenida Ñu Guazú N° 336 entre,"Avenida Ñu Guazú N° 336 entre, Algodonal y, Asunción, Paraguay",-25.256249999999998,-57.5575913,+595 21 491 452,http://www.dumotconstrucciones.com.py/,4.8,65,True,Construction company
Sociedad Constructora Chaco,construction,trades-home-services,Parirí 1013 casi,"Parirí 1013 casi, Asunción 001518, Paraguay",-25.3148332,-57.6074979,+595 21 550 283,http://www.scc.com.py/,4.6,44,True,Construction company
MAFADO S.A.,construction,trades-home-services,Auditores de la Guerra del Chaco 169,"Auditores de la Guerra del Chaco 169, Asunción 001521, Paraguay",-25.2669641,-57.566178699999995,+595 21 284 050,http://mafado.com.py/,4.6,56,True,Construction company
Jimenez Gaona y Lima S.A.,construction,trades-home-services,Av. Gral. José Gervasio Artigas N° 3443,"Av. Gral. José Gervasio Artigas N° 3443, Asunción 001517, Paraguay",-25.259692299999998,-57.5891216,+595 21 210 686,http://www.jgl.com.py/,4.6,82,True,Construction company
Indigo Construcciones,construction,trades-home-services,Teniente Héctor Vera 1840,"Teniente Héctor Vera 1840, Asunción 001409, Paraguay",-25.289431,-57.570198999999995,+595 21 339 7367,http://www.indigoconstrucciones.com/,4.5,17,True,Construction company
DE Constructora SA,construction,trades-home-services,Dr. Bernardino Caballero 1239,"Dr. Bernardino Caballero 1239, Asunción 001409, Paraguay",-25.2925987,-57.5568634,+595 21 602 722,http://www.deconstructora.com.py/home/contactos.php,4.6,23,True,Corporate office
EDB Construcciones S.A.,construction,trades-home-services,Herrera,"Herrera, Asunción 001220, Paraguay",-25.2927827,-57.6227197,+595 21 214 368,,4.4,41,False,Construction company
Altea Desarrollos S.A,construction,trades-home-services,Facundo Machain 5952,"Facundo Machain 5952, Asunción 001415, Paraguay",-25.3089652,-57.5759584,+595 994 565690,https://alteadesarrollos.com.py/,4.8,31,True,Construction company
Constructora Chaves Hausman S.A,construction,trades-home-services,R.I.18 Pitiantuta 1476 CASI,"R.I.18 Pitiantuta 1476 CASI, Asunción 1876, Paraguay",-25.3143182,-57.572474199999995,+595 21 514 322,http://www.cchsa.com.py/,4.3,51,True,Construction company
Implenia Constructora,construction,trades-home-services,America esq,"America esq, Luque 110901, Paraguay",-25.2391497,-57.5085013,+595 21 728 5800,http://www.implenia.com.py/,4.5,14,True,Construction company
Somagec Paraguay,construction,trades-home-services,Teniente Malutín esquina,"Teniente Malutín esquina, Asunción 001411, Paraguay",-25.2907627,-57.578958099999994,+595 21 663 529,http://www.somagec.com.py/,4.6,38,True,Construction company
Aponte Latorre Constructora,construction,trades-home-services,John F. Kennedy,"John F. Kennedy, Asunción 001228, Paraguay",-25.3022292,-57.607737199999995,+595 981 257801,,4.4,40,False,Construction company
CDD CONSTRUCCIONES SA -CENTRAL,construction,trades-home-services,Curupayty 312 c,"Curupayty 312 c, Asunción 001218, Paraguay",-25.2893407,-57.622488399999995,+595 21 440 192,http://www.cddsa.com.py/,4.7,49,True,Construction company
