name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Centro Odontologico MEDIDENT,dentists,health-wellness,Av. Aviadores del Chaco 2875 casi,"Av. Aviadores del Chaco 2875 casi, Asunción 001526, Paraguay",-25.2800194,-57.559181499999994,+595 21 607 057,,4.3,58,False,Dental clinic
Clinical Odontoandrauss Assumption,dentists,health-wellness,Cerro Corá 489,"Cerro Corá 489, Asunción 001101, Paraguay",-25.285296499999998,-57.6321832,+595 985 522225,http://www.odontoandrauss.com.py/,4.7,118,True,Dental clinic
Odontología 3,dentists,health-wellness,Mariscal Estigarribia 1414 c/ Pa'i Perez,"Mariscal Estigarribia 1414 c/ Pa'i Perez, Mcal. Estigarribia, Asunción, Paraguay",-25.290086,-57.620977599999996,+595 21 200 175,http://www.odontologia3.com/,4.5,303,True,Dentist
Dr. Gaston Trossero - Odontología Avanzada,dentists,health-wellness,Victor Heyn 7207 esquina,"Victor Heyn 7207 esquina, Asunción 001417, Paraguay",-25.308533399999998,-57.558617299999995,+595 984 102984,https://gastontrossero.com/,5,155,True,Dental implants periodontist
Odonto Center Especialidades,dentists,health-wellness,Celsa Speratti,"Celsa Speratti, Asunción 001230, Paraguay",-25.3027734,-57.6007648,+595 983 535456,http://odontocenter.com.py/,4.9,107,True,Dental clinic
Dental Protection Center,dentists,health-wellness,Dr. Pedro,"Dr. Pedro, Pedro Peña 7185, Asunción 001417, Paraguay",-25.306720799999997,-57.559227299999996,+595 981 600044,http://protectiondentalcenter.net/,4.9,212,True,Dental clinic
Centro de Especialidades Odontológicas San Jorge,dentists,health-wellness,De 2214,"De 2214, Asunción 001426, Paraguay",-25.3213993,-57.578620799999996,+595 983 273593,https://www.ceosanjorge.com/,4.6,30,True,Dental clinic
Asuncion Dental Clinic,dentists,health-wellness,Pacheco,"Pacheco, Av. Choferes Del Chaco 775, Asunción 1412, Paraguay",-25.295669999999998,-57.592411999999996,+595 984 536880,,4.8,38,False,Dental clinic
Santé Dental Clinic,dentists,health-wellness,Mcal. Estigarribia 1458,"Mcal. Estigarribia 1458, Asunción 001218, Paraguay",-25.2903922,-57.6205662,+595 982 461300,,4.5,40,False,Doctor
Clínica Santa Inés,dentists,health-wellness,Eligio Ayala 1180,"Eligio Ayala 1180, Asunción 001218, Paraguay",-25.2879079,-57.623346299999994,+595 982 100447,https://www.instagram.com/clinicasantaines/,4.3,20,True,Dental clinic
OdontoGroup,dentists,health-wellness,Av. Dr. José Gaspar Rodriguez de Francia 1851,"Av. Dr. José Gaspar Rodriguez de Francia 1851, Asunción 1223, Paraguay",-25.301039199999998,-57.6213899,+595 981 221301,https://odontogroup.net/,4.4,60,True,Dental clinic
Centro Odontológico Victoria,dentists,health-wellness,Cap. Aparicio Figari 1244,"Cap. Aparicio Figari 1244, Asunción 001011, Paraguay",-25.297367599999998,-57.6288122,+595 981 654084,http://www.covi.com.py/,4.9,31,True,Dental clinic
Faculty of Dentistry A,dentists,health-wellness,Av. España,"Av. España, Asunción 001218, Paraguay",-25.2854375,-57.621712099999996,+595 985 485299,http://www.odo.una.py/,4.8,183,True,Academic department
Godent Odontología,dentists,health-wellness,Paso De Patria 2185,"Paso De Patria 2185, Asunción 001425, Paraguay",-25.318330099999997,-57.5909756,+595 992 447500,https://godent.com.py/,5,22,True,Dentist
OdontoArte - CLINICA ODONTOLOGICA,dentists,health-wellness,Gral. MacArthur 232,"Gral. MacArthur 232, Asunción 001412, Paraguay",-25.292429,-57.5868815,+595 971 212184,http://www.odontoarte.com.py/,4.9,66,True,Dental clinic
Delica Dental Clinic - DDC,dentists,health-wellness,Fray Luis de Granada 492 casi,"Fray Luis de Granada 492 casi, Asunción 001207, Paraguay",-25.284114199999998,-57.5977379,+595 985 391551,http://delica.com.py/,4.9,104,True,Dental clinic
