name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Seguridad Seguros,insurance,finance-insurance,Av. Mariscal López 793,"Av. Mariscal López 793, Asunción 001209, Paraguay",-25.290696699999998,-57.616294599999996,+595 21 249 1000,http://www.seguridadseguros.com.py/,3.5,765,True,Insurance company
La Consolidada S.A. - Casa Matriz,insurance,finance-insurance,Av. Aviadores del Chaco 1669,"Av. Aviadores del Chaco 1669, Asunción 1771, Paraguay",-25.2856091,-57.570484,+595 21 619 1000,,4,349,False,Insurance agency
La Consolidada de Seguros,insurance,finance-insurance,Santisimo Sacramento 390,"Santisimo Sacramento 390, Asunción 001411, Paraguay",-25.2880134,-57.588805799999996,+595 21 619 1000,,4.1,542,False,Insurance agency
Patria S.A. de Seguros,insurance,finance-insurance,R.I.18 Pitiantuta 383,"R.I.18 Pitiantuta 383, Asunción 001417, Paraguay",-25.304427999999998,-57.5638303,+595 21 225 250,https://www.segurospatria.com.py/,3.6,228,True,Insurance agency
AESA SEGUROS,insurance,finance-insurance,Av. República Argentina 778,"Av. República Argentina 778, Asunción 001412, Paraguay",-25.3002462,-57.580364599999996,+595 21 616 5000,https://www.aesaseguros.com.py/,4.3,1218,True,Insurance agency
La Paraguaya S.A. de Seguros y Reaseguros,insurance,finance-insurance,e/ España y De la Residenta,"e/ España y De la Residenta, Washington 460, Asunción, Paraguay",-25.2875536,-57.614623699999996,+595 21 230 028,http://www.laparaguaya.com.py/,4.3,84,True,Insurance agency
Sancor Seguros del Paraguay S.A.,insurance,finance-insurance,San Juan XXIII,"San Juan XXIII, Asunción 001527, Paraguay",-25.2818068,-57.5640937,+595 21 620 8000,,4.1,139,False,Corporate office
Fénix SA de Seguros - Asunción,insurance,finance-insurance,Av. Aviadores del Chaco,"Av. Aviadores del Chaco, Asunción 001529, Paraguay",-25.2832945,-57.564693399999996,+595 21 729 4848,https://fenixseguros.com.py/,3.8,310,True,Insurance company
Central Seguros,insurance,finance-insurance,Av. Aviadores del Chaco 2408,"Av. Aviadores del Chaco 2408, Asunción 1802, Paraguay",-25.2832826,-57.5628898,+595 972 236236,http://www.centralseguros.com.py/,4,151,True,Insurance company
Panal Seguros S.A. - Matriz,insurance,finance-insurance,Ave. Dr. Guido Boggiani - Ciclovia,"Ave. Dr. Guido Boggiani - Ciclovia, Asunción 001416, Paraguay",-25.2975027,-57.5764095,+595 21 439 1000,http://www.panalseguros.com.py/,4.3,206,True,Insurance company
Royal Seguros SA,insurance,finance-insurance,Dr. Francisco Morra 595,"Dr. Francisco Morra 595, Asunción 001411, Paraguay",-25.2902173,-57.5764557,+595 21 609 800,https://www.royalseguros.com.py/,4.2,353,True,Insurance agency
El Productor S.A. seguros,insurance,finance-insurance,Independencia Nacional 811 &,"Independencia Nacional 811 &, Asunción 001101, Paraguay",-25.286541,-57.6362062,+595 21 448 620,http://www.elproductor.com.py/,4.1,181,True,Insurance company
Aseguradora Yacyreta S.A.,insurance,finance-insurance,Av. Aviadores del Chaco 1690 esq,"Av. Aviadores del Chaco 1690 esq, Asunción 001410, Paraguay",-25.2857864,-57.569688,+595 21 617 8000,http://www.yacyreta.com.py/,4.2,457,True,Insurance agency
Río Seguros S.A,insurance,finance-insurance,San Juan XXIII esquina,"San Juan XXIII esquina, Asunción 001527, Paraguay",-25.281360499999998,-57.5620805,+595 21 416 3900,https://www.rioseguros.com.py/,3.7,167,True,Insurance agency
La Independencia de Seguros S.A.,insurance,finance-insurance,Juan E. O'Leary 409,"Juan E. O'Leary 409, Asunción 1012, Paraguay",-25.280842399999997,-57.6390305,+595 21 447 021,https://www.laindependencia.com.py/,3.8,228,True,Insurance agency
Aseguradora Tajy - Casa Matriz,insurance,finance-insurance,Av. República Argentina esq,"Av. República Argentina esq, Asunción 001421, Paraguay",-25.310368999999998,-57.5863686,+595 21 689 1000,https://www.tajy.com.py/,4.2,467,True,Insurance company
La Agrícola de Seguros,insurance,finance-insurance,Av. Mariscal López 5377,"Av. Mariscal López 5377, Asunción 001406, Paraguay",-25.302310499999997,-57.5621313,+595 21 609 509,http://www.seguroslaagricola.com.py/,4.3,186,True,Insurance agency
Rumbos S.A. de Seguros - Casa Matriz,insurance,finance-insurance,Estrella 851,"Estrella 851, Asunción 001012, Paraguay",-25.2800098,-57.6401323,+595 21 449 488,http://www.rumbos.com.py/,4.2,557,True,Insurance agency
SEGUROS SEGESA Casa Central,insurance,finance-insurance,Edificio SEGESA,"Edificio SEGESA, Oliva 393, Asunción 1221, Paraguay",-25.2829667,-57.6367774,+595 21 660 200,http://www.segurossegesa.com.py/,4.5,56,True,Insurance agency
LA RURAL SEGUROS | CASA MATRIZ,insurance,finance-insurance,Av. República Argentina 940,"Av. República Argentina 940, Asunción 001413, Paraguay",-25.301792199999998,-57.5816325,+595 21 617 4000,http://www.larural.com.py/,3.5,728,True,Insurance agency
Covering Corredores de Seguros - Asunción,insurance,finance-insurance,Av. República Argentina,"Av. República Argentina, Asunción 001422, Paraguay",-25.3136643,-57.588584499999996,+595 21 569 7950,http://www.covering.com.py/,4.7,39,True,Insurance broker
ACS SA,insurance,finance-insurance,Av. Eusebio Ayala 1276,"Av. Eusebio Ayala 1276, Asunción 001235, Paraguay",-25.304142,-57.6106689,,,4.9,10,False,Insurance broker
CGS CORREDORES GENERALES DE SEGUROS S.A,insurance,finance-insurance,PC9R+X2G,"PC9R+X2G, 34 Curuguateños, Asunción 001526, Paraguay",-25.2800744,-57.5599218,+595 21 225 722,,4.9,8,False,Auto insurance agency
