name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
"Dr. Carlos Escauriza Benítez, Abogado",lawyers,b2b-professional,Mariano Roque Alonso CASI,"Mariano Roque Alonso CASI, Asunción 001004, Paraguay",-25.287561399999998,-57.654322699999994,+595 983 214530,https://carlosescaurizabenitez.com/,4.8,54,True,Attorney
Peroni Sosa Tellechea Burt & Narvaja,lawyers,b2b-professional,Dr. Juan Eulogio Estigarribia 4846 esq,"Dr. Juan Eulogio Estigarribia 4846 esq, Asunción 1892, Paraguay",-25.2948023,-57.583519499999994,+595 21 319 9000,http://www.pstbn.com.py/,4.7,56,True,Attorney
Estudio Jurídico Riera Abogados,lawyers,b2b-professional,Iturbe 869,"Iturbe 869, Asunción 001101, Paraguay",-25.2880684,-57.6349988,+595 21 444 789,https://www.estudioriera.com.py/,4.6,46,True,Legal services
Tuma Legal Group,lawyers,b2b-professional,Iturbe 675,"Iturbe 675, Asunción 001101, Paraguay",-25.286078699999997,-57.633689999999994,+595 21 441 176,http://www.estudiotuma.com.py/,4.8,97,True,Law firm
Olmedo Abogados,lawyers,b2b-professional,Av. Perú,"Av. Perú, Asunción 001209, Paraguay",-25.2861327,-57.616605899999996,+595 21 207 185,http://www.olmedo.com.py/,4.6,59,True,Law firm
Bernis Abogados,lawyers,b2b-professional,Milano,"Milano, Asunción 001102, Paraguay",-25.291583499999998,-57.6415608,+595 981 149854,,4.8,118,False,Law firm
Moreno Ruffinelli & Asociados,lawyers,b2b-professional,Av. Perú 1044,"Av. Perú 1044, Asunción 2437, Paraguay",-25.280857299999997,-57.6157768,+595 21 214 688,,4.8,24,False,Attorney
Vouga Abogados,lawyers,b2b-professional,Juan de Salazar y Espinoza 657,"Juan de Salazar y Espinoza 657, Asunción 001210, Paraguay",-25.2848051,-57.6154733,+595 21 202 049,https://www.vouga.com.py/,4.3,53,True,Law firm
Zacarias & Fernandez,lawyers,b2b-professional,Tte. Buongermini 1174,"Tte. Buongermini 1174, Asunción 1209, Paraguay",-25.2843911,-57.6498485,+595 21 425 120,http://www.zafer.com.py/,4.7,25,True,Legal services
Villamayor Abogados,lawyers,b2b-professional,Cerro Corá 1048,"Cerro Corá 1048, Asunción 001220, Paraguay",-25.2888605,-57.626410199999995,+595 981 290835,,5,127,False,Legal services
