name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Elice Digital,marketing_agencies,technology-digital,Gral. Caballero 112,"Gral. Caballero 112, Fernando de la Mora 2300, Paraguay",-25.3113548,-57.552265299999995,+595 981 133051,http://www.elicedigital.com/,4.9,109,True,Marketing agency
Designerlo - Marketing Digital,marketing_agencies,technology-digital,Tte. Centeno,"Tte. Centeno, Fernando de la Mora 2300, Paraguay",-25.3175501,-57.5357534,+595 992 909464,https://designerlo.com/,4.7,129,True,Marketing agency
Nexo Digital,marketing_agencies,technology-digital,Mcal. López,"Mcal. López, Atyrá 3040, Paraguay",-25.2805288,-57.1748166,+595 991 297083,https://nexodigital.com.py/,5,139,True,Marketing agency
Yeah! S.A. Agencia Creativa & Lab Digital,marketing_agencies,technology-digital,Doctor Eduardo López Moreira 5286,"Doctor Eduardo López Moreira 5286, Cruz del Defensor, Asunción 1209, Paraguay",-25.301284499999998,-57.5822876,+595 21 662 878,https://www.yeah.com.py/,4.1,21,True,Marketing agency
Agencia de Marketing y Publicidad - CDEonline,marketing_agencies,technology-digital,Av. San José,"Av. San José, Cd. del Este 7700, Paraguay",-25.5041075,-54.6568088,+595 973 183076,http://www.cdeonline.com.py/,4.9,23,True,Marketing agency
Prana,marketing_agencies,technology-digital,José A. Moreno González 1250,"José A. Moreno González 1250, Asunción 001528, Paraguay",-25.2763848,-57.5729153,+595 21 660 538,https://www.prana.com.py/,4.6,58,True,Advertising agency
Creative Hub,marketing_agencies,technology-digital,Edificio Sky Park,"Edificio Sky Park, San Juan XXIII, Asunción 001527, Paraguay",-25.281661,-57.5622635,+595 981 746445,https://www.creativehub.com.py/,5,56,True,Marketing agency
Dúo Agencia de Marketing,marketing_agencies,technology-digital,Mayor Joel Estigarribia,"Mayor Joel Estigarribia, Asunción 1522, Paraguay",-25.2978705,-57.5474533,+595 995 628017,https://duo.com.py/,5,14,True,Marketing agency
Latamclick,marketing_agencies,technology-digital,,,-22.703777,-68.06525479999999,,https://www.latamclick.com/,4.8,36,True,Advertising agency
Agencia Lupe,marketing_agencies,technology-digital,Paraguari 852,"Paraguari 852, e/ Manuel Domínguez y F. R. Moreno., Asunción 1229, Paraguay",-25.2890972,-57.633064399999995,+595 992 436146,https://www.lupe.com.py/,4.5,40,True,Advertising agency
WILD FI,marketing_agencies,technology-digital,Antonio José de Sucre y Alcalá 1036,"Antonio José de Sucre y Alcalá 1036, Asunción 001411, Paraguay",-25.289437099999997,-57.579620299999995,+595 21 603 031,http://www.wildfi.com/,4.7,36,True,Advertising agency
The Promote Lab - Agencia Creativa,marketing_agencies,technology-digital,Av. Denis Roa e,"Av. Denis Roa e, Moisés Bertoni 545, Asunción 1209, Paraguay",-25.297176099999998,-57.5630927,+595 981 175664,https://api.whatsapp.com/send?phone=595981175664,5,6,True,Marketing agency
Materia Gris,marketing_agencies,technology-digital,Alfredo Seiferheld 5035 casi,"Alfredo Seiferheld 5035 casi, Asunción 001414, Paraguay",-25.305877499999998,-57.587828099999996,+595 991 802074,http://materiagris.com.py/,5,3,True,Marketing agency
Ayo Agencia de Autor,marketing_agencies,technology-digital,Ocara Poty Cue Mi,"Ocara Poty Cue Mi, Asunción 001508, Paraguay",-25.2432671,-57.5428651,,http://www.ayo.com.py/,4.9,12,True,Advertising agency
Maknetiza - Agencia de Marketing Digital Paraguay,marketing_agencies,technology-digital,,,-25.5607898,-56.2115642,,http://www.maknetiza.com/,5,10,True,Marketing agency
Cloud Paraguay - Data Driven Marketing,marketing_agencies,technology-digital,Aviadores del Chaco 2050 World Trade Center / Torre,"Aviadores del Chaco 2050 World Trade Center / Torre, Asunción, Paraguay",-25.2848372,-57.567366,(660) 696-4014,https://cloudparaguay.com/,5,10,True,Marketing agency
Tabárez Publicidad - Grupo TBZ,marketing_agencies,technology-digital,Luís Alberto de Herrera 969,"Luís Alberto de Herrera 969, casi EEUU 1829, Paraguay",-25.2893069,-57.6284206,+595 21 446 060,http://www.tabarez.com.py/,4.8,17,True,Advertising agency
Agencia Ojo De Pez,marketing_agencies,technology-digital,Av. España 1811 e,"Av. España 1811 e, Asunción 001208, Paraguay",-25.2881417,-57.604180199999995,+595 976 543856,http://www.ojodepez.com.py/,4.3,21,True,Advertising agency
BpuntoC Marketing,marketing_agencies,technology-digital,M9MW+9H8,"M9MW+9H8, Dr. Carlos Centurion 1044, Asunción 1632, Paraguay",-25.316504499999997,-57.603558799999995,+595 21 557 758,,4.7,23,False,Marketing agency
Arroba - Agencia de Marketing Digital,marketing_agencies,technology-digital,,,-25.302643999999997,-57.5993784,+595 971 980731,https://arroba.com.py/,5,4,True,Internet marketing service
Biedermann Publicidad,marketing_agencies,technology-digital,Olegario Víctor Andrade,"Olegario Víctor Andrade, Asunción 001411, Paraguay",-25.2929224,-57.5782794,+595 21 238 6200,http://www.biedermann.com.py/,4.2,86,True,Advertising agency
Paraguay Publicidad,marketing_agencies,technology-digital,Av. Dr. Fernando de la Mora 355,"Av. Dr. Fernando de la Mora 355, Asunción 001235, Paraguay",-25.309936099999998,-57.6136911,+595 986 700200,https://www.facebook.com/paraguaypublicidad/,5,3,True,Advertising agency
Publitex Industria Publicitaria S.R.L.,marketing_agencies,technology-digital,Rodriguez de Francia 1372 c,"Rodriguez de Francia 1372 c, Asunción 2121, Paraguay",-25.2977438,-57.627423699999994,+595 984 993533,http://www.publitex.com.py/,4.5,203,True,Advertising agency
Publicitá 365,marketing_agencies,technology-digital,Padre Rafael Elizeche 1281,"Padre Rafael Elizeche 1281, Lambaré 110701, Paraguay",-25.3156946,-57.616926,+595 21 300 222,,4.9,35,False,Advertising service
Pachas Publicidad,marketing_agencies,technology-digital,Teodoro S. Mongelós,"Teodoro S. Mongelós, Asunción 001224, Paraguay",-25.2965575,-57.620554899999995,+595 971 205625,,4.8,40,False,Advertising agency
Asociación Paraguaya de Agencias de Publicidad - APAP,marketing_agencies,technology-digital,P96V+8C6,"P96V+8C6, Cap. Victor Manuel Brizuela, Asunción 001208, Paraguay",-25.289218899999998,-57.606498099999996,+595 21 207 757,http://www.apap.org.py/,4.6,5,True,Corporate office
RB Industry Advertising S.A.,marketing_agencies,technology-digital,RGJ9+JVP,"RGJ9+JVP, Limpio 110816, Paraguay",-25.1684223,-57.480308699999995,+595 21 782 449,http://www.rbpublicidad.com.py/,4.1,42,True,Advertising agency
Tilleria Publicidad,marketing_agencies,technology-digital,Av. República Argentina 2679,"Av. República Argentina 2679, Asunción 001425, Paraguay",-25.3202933,-57.5927644,,http://www.facebook.com/tilleriapublicitaria,4.7,30,True,Advertising agency
"Diseñate Paraguay ""Actividad Creativa""",marketing_agencies,technology-digital,Bertoni 460 e/ Dr. Bestrad y Gómez de Castro,"Bertoni 460 e/ Dr. Bestrad y Gómez de Castro, Asunción, Paraguay",-25.287756599999998,-57.5853269,+595 992 810115,,4.9,12,False,Advertising agency
Creativo Publicitaria,marketing_agencies,technology-digital,Tte. Garay Nº 1649 casi,"Tte. Garay Nº 1649 casi, Av Pozo Favorito, Asunción 1649, Paraguay",-25.3093778,-57.627522,+595 981 651161,https://www.creativopublicitaria.com/,4.5,25,True,Advertising agency
JOP Industria Publicitaria,marketing_agencies,technology-digital,Mandeyupecua 187,"Mandeyupecua 187, Asunción 001509, Paraguay",-25.251440199999998,-57.5527618,+595 21 299 766,,4.6,25,False,Advertising agency
Kausa Central Creativa (Havas Worldwide),marketing_agencies,technology-digital,25 de Mayo,"25 de Mayo, Asunción 001220, Paraguay",-25.2897683,-57.6230925,+595 21 232 070,http://www.kausa.com.py/,4.5,34,True,Advertising agency
Martinez Publicidad,marketing_agencies,technology-digital,Victor Idoyaga,"Victor Idoyaga, Asunción 001421, Paraguay",-25.308529,-57.590146999999995,+595 21 604 028,,4.8,15,False,Flag store
CA Publicidad,marketing_agencies,technology-digital,JC9M+HW7,"JC9M+HW7, Unnamed Road, Ñemby 111209, Paraguay",-25.3810763,-57.565208899999995,+595 981 743734,https://www.facebook.com/CAPublicidad/,5,7,True,Advertising agency
Identidad Publicidad,marketing_agencies,technology-digital,M4GP+WMM,"M4GP+WMM, Tte. A. Barboza, Encarnación 070112, Paraguay",-27.322671,-55.863321299999996,+595 995 366851,http://www.identidadpy.com/,4.7,40,True,Advertising agency
Creadores,marketing_agencies,technology-digital,M92J+JFJ,"M92J+JFJ, Lambaré 110722, Paraguay",-25.3484083,-57.6188466,+595 21 328 7099,http://www.creadores.com.py/,4.6,37,True,Advertising agency
IDT Paraguay - Instituto de Diseño y Tecnología,marketing_agencies,technology-digital,Avenida La Victoria &,"Avenida La Victoria &, Arasa, Asunción, Paraguay",-25.3242287,-57.580620599999996,+595 981 756650,http://www.idt.com.py/,4.7,121,True,Educational institution
Ivar Digital - Marketing Digital en Paraguay,marketing_agencies,technology-digital,,,-23.4472964,-58.4504387,,https://ivarwilliams.com/,4.9,10,True,Consultant
Arte Facto Digital 360,marketing_agencies,technology-digital,República de Colombia 916,"República de Colombia 916, Asunción 1119, Paraguay",-25.2936767,-57.631961999999994,+595 21 328 6000,https://www.artefactodigital.com.py/,5,13,True,Marketing agency
Arca Digital - Agencia de Marketing,marketing_agencies,technology-digital,Barrio Esquina Gaucha Santa Rita,"Barrio Esquina Gaucha Santa Rita, 7540, Paraguay",-25.799292899999998,-55.0672687,+595 981 751724,http://www.arca.com.py/,5,1,True,Marketing agency
Agencia SEO | SM Servicios Digitales,marketing_agencies,technology-digital,,,-25.5607898,-57.5102626,+595 971 880178,https://smserviciosdigitales.com/,5,24,True,Marketing agency
Big Boss agencia de marketing digital,marketing_agencies,technology-digital,Olegario Víctor Andrade 689,"Olegario Víctor Andrade 689, Asunción 1860, Paraguay",-25.2899627,-57.5844567,,https://bigboss.com.py/,5,10,True,Corporate office
Embrión Agencia Digital,marketing_agencies,technology-digital,Carr de López,"Carr de López, Lambaré 110729, Paraguay",-25.3604608,-57.6204646,+595 961 707403,http://www.embrion.com.py/,4.8,4,True,Marketing agency
Mister Co. - Agencia Digital,marketing_agencies,technology-digital,San Rafael,"San Rafael, Asunción 001528, Paraguay",-25.2776464,-57.5734541,+595 991 837183,,5,1,False,Advertising agency
