name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
ITCS S.A.,tech_companies,technology-digital,Sgto. José León Gauto 289,"Sgto. José León Gauto 289, Asunción 001206, Paraguay",-25.2816783,-57.5989885,+595 21 728 8222,https://www.itcs.com.py/,4.8,42,True,Computer support and services
Softec S.R.L.,tech_companies,technology-digital,Arquitecto Miguel Angel Alfaro 499,"Arquitecto Miguel Angel Alfaro 499, Asunción 1735, Paraguay",-25.262719,-57.564394,+595 974 504400,http://www.softec.com.py/,4.6,25,True,Software company
Zadock Technology,tech_companies,technology-digital,Antolin Irala 3190,"Antolin Irala 3190, Asunción 001405, Paraguay",-25.2975043,-57.5550727,+595 21 665 015,http://www.zadock.com/,4.7,59,True,Wholesaler
Opentech S.A. - Consultores en Innovación,tech_companies,technology-digital,Tte. 1ro. Roque Cabrera Haedo,"Tte. 1ro. Roque Cabrera Haedo, Asunción 1403, Paraguay",-25.2892618,-57.5476077,+595 21 328 5542,https://www.opentech.com.py/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2656665911910231468,4.7,27,True,Software company
CLT Centro Logístico de Tecnología SA,tech_companies,technology-digital,Gral. Bernardino Caballero,"Gral. Bernardino Caballero, Mariano Roque Alonso 111006, Paraguay",-25.201920299999998,-57.503663499999995,,http://clt.com.py/,5,14,True,Corporate office
Innova Technology Paraguay,tech_companies,technology-digital,Av. República Argentina 433,"Av. República Argentina 433, Asunción 1855, Paraguay",-25.29823,-57.578618199999994,+595 981 682448,https://www.innovatechnology.com.py/,5,10,True,Corporate office
Excelsis S.A,tech_companies,technology-digital,Edificio Ellis Office,"Edificio Ellis Office, Capitán Victor Manuel Brizuela esq, República Dominicana 650, Asunción 001208, Paraguay",-25.2897985,-57.6045087,+595 21 230 160,http://www.excelsis.com.py/,4.7,44,True,Software company
Onnix Tecnologia y Servicios S.A.,tech_companies,technology-digital,AVDA. MCAL. LOPEZ E/ TTE,"AVDA. MCAL. LOPEZ E/ TTE, Trifon Benitez Vera Y, Asunción 1408, Paraguay",-25.2971157,-57.5721991,+595 974 111000,https://www.onnix.com.py/,4.3,3,True,Software company
DATALAB | Soluciones Tecnológicas Corporativas,tech_companies,technology-digital,Av. Gral. José Gervasio Artigas 2180,"Av. Gral. José Gervasio Artigas 2180, Asunción 001203, Paraguay",-25.2691445,-57.600929,+595 21 209 126,,4.2,104,False,Software company
"SAN S.R.L. (Systems and Networks) - Dpto. Administrativo, Comercial, Desarrollo y Tecnología",tech_companies,technology-digital,Avda. España 2028 Avda. Brasilia Edificio Urano,"Avda. España 2028 Avda. Brasilia Edificio Urano, Piso 4°, Asunción, Paraguay",-25.288214,-57.6016919,+595 21 237 6769,https://www.san.com.py/,4.7,27,True,Computer support and services
UNICLOUD PARAGUAY,tech_companies,technology-digital,MCRV+7J8,"MCRV+7J8, Asunción 001418, Paraguay",-25.309345699999998,-57.555934799999996,+595 985 717566,,4.3,3,False,Software company
SIT - Seguridad Inteligencia y Tecnología,tech_companies,technology-digital,Av Primer Presidente 2126 casi Itaupua,"Av Primer Presidente 2126 casi Itaupua, Av. Primer Presidente 2128, Asunción 001521, Paraguay",-25.258244599999998,-57.567755899999995,+595 21 298 600,,4.2,567,False,Security service
Merit Paraguay S.A.,tech_companies,technology-digital,J. B. Rivarola Matto 5837,"J. B. Rivarola Matto 5837, Asunción 001420, Paraguay",-25.3100654,-57.5781564,+595 21 237 6908,https://merit.com.py/,4.6,30,True,Telecommunications service provider
GRUPO IT PARAGUAY,tech_companies,technology-digital,Dr. Agustin Goiburu N° 1891 entre Taruma y,"Dr. Agustin Goiburu N° 1891 entre Taruma y, Dr. Agustín Goiburu 1891, Asunción, Paraguay",-25.315668799999997,-57.593634099999996,+595 962 280341,http://www.grupoit.com.py/,4.4,7,True,Computer service
ALTEC S.A.,tech_companies,technology-digital,Antequera y Castro,"Antequera y Castro, San Lorenzo 111456, Paraguay",-25.3562691,-57.4978889,+595 992 290732,http://www.altecsa.com.py/,4.4,28,True,Engineering consultant
Precision TECH (Software Solutions),tech_companies,technology-digital,Iturbe 624,"Iturbe 624, Asunción 001101, Paraguay",-25.285694799999998,-57.6336005,+595 981 515762,http://www.tech-precision.com/,5,4,True,Software company
Innova S.A,tech_companies,technology-digital,Doctor Ernesto San Martin 543 casi Narciso Colman Lambaré,"Doctor Ernesto San Martin 543 casi Narciso Colman Lambaré, 2420, Paraguay",-25.348736499999998,-57.605153099999995,+595 21 901 218,,4.5,11,False,Software company
Iotech Innovación & Tecnología,tech_companies,technology-digital,Moisés Bertoni 776 c,"Moisés Bertoni 776 c, Asunción 001411, Paraguay",-25.2889406,-57.582642799999995,+595 972 300874,,5,1,False,Automation company
NeoSystem Paraguay,tech_companies,technology-digital,San Jose 352 c/ 15 De Mayo Fernando De La Mora Fernando de la Mora,"San Jose 352 c/ 15 De Mayo Fernando De La Mora Fernando de la Mora, 2300, Paraguay",-25.3298377,-57.566524599999994,+595 981 256797,https://neosystem.com.py/,5,1,True,Software company
TodoSoft Paraguay,tech_companies,technology-digital,Av. Aviadores del Chaco esq,"Av, Av. Aviadores del Chaco esq, Asunción, Paraguay",-25.2761742,-57.548349699999996,+595 976 564209,,5,1,False,Software company
SODEP S.A.,tech_companies,technology-digital,Belgica 839 c,"Belgica 839 c, Asunción 001409, Paraguay",-25.2907484,-57.5680938,+595 981 131694,http://www.sodep.com.py/,4.7,16,True,Software company
Globalizate Py (Desarrollo De Software),tech_companies,technology-digital,Justo David Bueno,"Justo David Bueno, Mariano Roque Alonso 111013, Paraguay",-25.2017965,-57.5453645,+595 972 663042,,4.8,4,False,Software company
Codium S.A./ Willdom Paraguay,tech_companies,technology-digital,Gonzalo Bulnes 830,"Gonzalo Bulnes 830, Asunción 001411, Paraguay",-25.2852435,-57.5783999,+595 971 631303,,4.7,24,False,Software company
Ingesoft - Paraguay,tech_companies,technology-digital,Dr. Cástulo Franco,"Dr. Cástulo Franco, Fernando de la Mora 110325, Paraguay",-25.3274628,-57.565627899999996,+595 981 507424,,4.9,17,False,Software company
Freelancers del Paraguay S.A.,tech_companies,technology-digital,Capitán Emeterio Miranda 643,"Capitán Emeterio Miranda 643, Asunción 001407, Paraguay",-25.295587899999997,-57.563615,+595 21 606 039,https://www.freelancer.com.py/,4.9,16,True,Software company
Centro De Desarrollo Sostenible S.A. (CDS),tech_companies,technology-digital,Paz del Chaco 3961 entre,"Paz del Chaco 3961 entre, Mayor Joel Estigarribia y, Asunción, Paraguay",-25.3011827,-57.549318899999996,,https://www.cds.com.py/,4.6,14,True,Corporate office
CODE100 - Sucursal Centro,tech_companies,technology-digital,Benjamin Constant 973,"Benjamin Constant 973, Asunción 001012, Paraguay",-25.2771305,-57.639752699999995,+595 992 460600,https://www.code100.com.py/,4.7,15,True,Software company
DefineTec,tech_companies,technology-digital,India &,"India &, Benza Carrera, Fernando de la Mora, Paraguay",-25.3113314,-57.5365587,+595 994 765325,https://www.definetec.com.py/,4.8,12,True,Software company
Infocenter SAE - Gold Partner de SAP en Paraguay,tech_companies,technology-digital,Av. España 2287,"Av. España 2287, Asunción 001207, Paraguay",-25.287127899999998,-57.5954785,+595 21 226 016,http://www.infocenter.com.py/,4.4,56,True,Software company
Alpha Software PY,tech_companies,technology-digital,Av Gral Máximo Santos 1647,"Av Gral Máximo Santos 1647, Asunción 1237, Paraguay",-25.309513799999998,-57.616119399999995,+595 994 209224,http://www.alphasoft.com.py/,5,1,True,Software company
The Derby S.R.L,tech_companies,technology-digital,Av. República Argentina 2087,"Av. República Argentina 2087, Asunción 001425, Paraguay",-25.312908099999998,-57.5874762,+595 21 338 2222,http://www.thederby.com.py/,4.7,26,True,Software company
