name,vertical,category,city,address,lat,lng,phone,website,rating,total_reviews,has_website,types
Nantes Veterinary Hospital,veterinarians,pets-animals,Comandante Salaskin 291 y,"Comandante Salaskin 291 y, Asunción 001411, Paraguay",-25.290721599999998,-57.582833099999995,+595 971 280025,https://www.facebook.com/NantesHospitalVeterinario/,4.7,3076,True,Veterinarian
Asuncion Pet,veterinarians,pets-animals,Av. Perú 730,"Av. Perú 730, Asunción 001220, Paraguay",-25.2933329,-57.6223653,+595 982 570001,https://beacons.ai/asuncionpet?fbclid=PAZXh0bgNhZW0CMTEAAabpqF-0XDOsBG_T4Z7Uedbejn04rqO8h-P3rQIu9eBxXdXU9AAVExzFNpU_aem_zHR9sdul3LMXT8IRKy6DZg,4.5,230,True,Veterinarian
VETCIA Centro Veterinario,veterinarians,pets-animals,Calle Cruz del Defensor 1750 e,"Calle Cruz del Defensor 1750 e, Mayor José Martí y, Asunción 001001, Paraguay",-25.3080695,-57.5864099,+595 984 723141,,4.5,243,False,Veterinarian
Centro Veterinario San Agustín,veterinarians,pets-animals,Av. Gral. José Gervasio Artigas 3930,"Av. Gral. José Gervasio Artigas 3930, Asunción 001519, Paraguay",-25.2560127,-57.5832449,+595 972 184057,,4.4,323,False,Veterinarian
Agroveterinaria Central S.R.L,veterinarians,pets-animals,Av. Dr. José Gaspar Rodriguez de Francia 1423,"Av. Dr. José Gaspar Rodriguez de Francia 1423, Asunción 1548, Paraguay",-25.297782899999998,-57.626815799999996,+595 21 214 914,https://linktr.ee/agroveterinariacentralpy,4.6,2416,True,Veterinarian
FAUNA TOWN - Casa Central,veterinarians,pets-animals,Av. Choferes Del Chaco 1449,"Av. Choferes Del Chaco 1449, Asunción 001414, Paraguay",-25.3028147,-57.5943481,+595 21 729 4545,http://www.agrofield.com.py/fauna-town/,4,374,True,Animal hospital
Loyal Centro Veterinario,veterinarians,pets-animals,Mayor Leandro Aponte,"Mayor Leandro Aponte, &, Asunción, Paraguay",-25.2760897,-57.550823199999996,+595 971 261766,,4.8,64,False,Veterinarian
AgroDog,veterinarians,pets-animals,MCG4+8WR,"MCG4+8WR, Curupay, Asunción 001424, Paraguay",-25.3241332,-57.592735499999996,+595 981 547306,http://www.agrodog.com/,4.1,370,True,Veterinarian
FAUNA TOWN - Paseo Galería,veterinarians,pets-animals,Av. Aviadores del Chaco 1998,"Av. Aviadores del Chaco 1998, Asunción 001410, Paraguay",-25.2838846,-57.5650827,+595 21 729 4545,,4.5,32,False,Animal hospital
La Quinta,veterinarians,pets-animals,PCGV+2MJ,"PCGV+2MJ, Asunción 001526, Paraguay",-25.274901699999997,-57.555847699999994,+595 984 933801,http://m.facebook.com/laquintaveterinaria,4.5,534,True,Animal hospital
