name,category,subcategory,city,neighborhood,address,lat,lng,phone,website,rating,total_reviews,has_website,deep_score,priority,types
Magnolia Peluquería,Peluqueria,General,Asunción,,"Bartolome De Las Casas 206 esq, Asunción 001231, Paraguay",-25.3076998,-57.6029685,(021) 558 289,,4.7,216,False,100,A,establishment|hair_care|point_of_interest
Mantra Spa,Spa/Wellness,Spa,Concepción,,"HHM7+QX6, Tte. Antonio Esteche Signorelli, Concepción 010112, Paraguay",-23.4155959,-57.43510529999999,0986 630185,,4.7,89,False,100,A,establishment|point_of_interest|spa
Bicho's Gym,Gimnasio/Fitness,Gimnasio,Capiatá,Posta Ybycua,"JG69+8RX, Capiatá 110244, Paraguay",-25.3892328,-57.4782459,0982 292573,,4.7,109,False,100,A,establishment|gym|health|point_of_interest
Luis De Leon Concept,Peluqueria,General,Asunción,,"Gral. Torreani Viera 341 Esq, Asunción 001412, Paraguay",-25.294285,-57.584416,(021) 604 817,,4.9,144,False,100,A,establishment|hair_care|point_of_interest|store
Complejo Cocodrilo (Mburucuya Fitness),Gimnasio/Fitness,General,Asunción,,"PCJP+J48, Av. Santísima Trinidad, Asunción 001521, Paraguay",-25.2684588,-57.564666,0986 106062,,4.5,269,False,100,A,establishment|gym|health|point_of_interest
Peluquería MMical,Peluqueria,General,Asunción,,"Prócer Juan Manuel Iturbe 106, Asunción 001526, Paraguay",-25.2783636,-57.5561992,(021) 606 360,,4.7,177,False,100,A,establishment|hair_care|point_of_interest
Mimate Spa,Spa/Wellness,Spa,Ñemby,,"Gral. Ceferino Vega Gaona 834, Ñemby 111201, Paraguay",-25.3690981,-57.56753260000001,0986 253670,,4.9,69,False,100,A,establishment|point_of_interest|spa
Urban Spa Acquadolce,Spa/Wellness,Spa,Asunción,,"Tacuary 1334 e/ 1ra. y 2da. Proyectada, Tacuary 1334, Asunción 001103, Paraguay",-25.295013,-57.6349107,0961 281515,,4.7,309,False,100,A,beauty_salon|establishment|hair_care|health|point_of_interest|spa
Maison Mint,Peluqueria,General,Asunción,,"Eusebio Lillo Robles esquina, Asunción 001411, Paraguay",-25.2875312,-57.58162009999999,0981 301077,,4.8,112,False,100,A,establishment|hair_care|point_of_interest|spa
Carolina Zarate Spa,Spa/Wellness,Spa,Asunción,,"Mariscal Antonio Jose Sucre, Asunción 001411, Paraguay",-25.2905983,-57.5749821,0981 800788,https://www.instagram.com/carolinazaratespa/,4.8,205,True,100,A,establishment|point_of_interest|spa
Teranu,Spa/Wellness,General,Asunción,,"Guillermo Saraví, Asunción 001414, Paraguay",-25.3019804,-57.5906093,0971 252626,,4.8,184,False,100,A,establishment|point_of_interest|spa
AVENTURA Centro Deportivo,Gimnasio/Fitness,General,Lambaré,,"Porvenir, Lambaré 110705, Paraguay",-25.3351941,-57.62994899999999,0985 500023,,4.6,272,False,100,A,establishment|gym|health|point_of_interest
Essencial SPA,Spa/Wellness,Spa,Luque,,"Luque 110933, Paraguay",-25.2711943,-57.5002259,0982 338886,,4.6,285,False,100,A,establishment|point_of_interest|spa
Tomos Barbería,Barberia,General,Luque,,"José Bonifacio y, Luque 110934, Paraguay",-25.2657495,-57.5047598,0972 477929,,4.9,112,False,100,A,establishment|hair_care|health|point_of_interest
David Coiffure,Peluqueria,General,Encarnación,,"Villarrica casi, Encarnación 070116, Paraguay",-27.330843,-55.8720826,0985 499769,,4.9,106,False,100,A,establishment|hair_care|point_of_interest
Natucenter,Otros,General,Presidente Franco,,"area 5 Calle Montelindo casi Aguaray Presidente Franco, Pdte. Franco 7700, Paraguay",-25.5585021,-54.62997050000001,0973 117473,,4.8,495,False,100,A,establishment|food|lodging|point_of_interest|restaurant
Rojas Taekwon-do Club de Ramon Rojas,Gimnasio/Fitness,General,Ñemby,,"JCFW+JCC, Mcal. Estigarribia, Ñemby 111208, Paraguay",-25.3759346,-57.5539786,0981 480350,,4.8,64,False,100,A,establishment|gym|health|point_of_interest
Piribebuy Country Club,Otros,General,Piribebuy,,"GWMV+2G5, Piribebuy 031411, Paraguay",-25.4674986,-57.0561367,0972 651474,,4.6,458,False,100,A,establishment|lodging|point_of_interest
Complejo Barparaíso Deportivo,Otros,General,Piribebuy,,"Mcal. Estigarribia, Piribebuy 031411, Paraguay",-25.4654826,-57.057393,0981 448335,,4.5,838,False,100,A,establishment|lodging|point_of_interest
Gym ACOSTAATHLETIC,Gimnasio/Fitness,Gimnasio,Ñemby,,"Acceso Sur casi, Ñemby 111314, Paraguay",-25.4252774,-57.5377361,0981 760517,,4.9,78,False,100,A,establishment|gym|health|point_of_interest
Galilea Estetica,Estetica/Facial,General,Asunción,,"Sta. Rosa 944 c, Asunción 1411, Paraguay",-25.2826214,-57.59021970000001,0994 681789,,5.0,395,False,100,A,establishment|point_of_interest|store
RENUVA - Clínica estética y laser,Depilacion,Depilacion Laser,Asunción,,"Eusebio Lillo Robles 1498 esq, Asunción 001411, Paraguay",-25.2893184,-57.57473409999999,0981 521527,,4.8,248,False,100,A,establishment|health|point_of_interest
Hidrobaby Luque,Spa/Wellness,General,Luque,,"Dora Gomez Bueno de Acuña, Luque 0000, Paraguay",-25.2669481,-57.48366360000001,0993 444300,,4.9,196,False,100,A,establishment|point_of_interest|spa
Oh! Baby Spa,Spa/Wellness,Spa,Luque,,"PGMH+987, Hernandarias, Luque 110922, Paraguay",-25.2665827,-57.4717046,0982 357778,,5.0,161,False,100,A,establishment|point_of_interest|spa
Lila Cornejo Spa,Spa/Wellness,Spa,Villa Elisa,,"Ecuador 546, Villa Elisa 111507, Paraguay",-25.3637675,-57.58882430000001,0983 376951,,4.8,113,False,100,A,establishment|point_of_interest|spa
Carol Peluquería,Peluqueria,General,Encarnación,,"Mcal. Estigarribia 1728, Encarnación 6000, Paraguay",-27.3275091,-55.8669328,0985 105541,,4.7,248,False,100,A,beauty_salon|establishment|hair_care|point_of_interest
Campo Verde Pirayu,Spa/Wellness,General,Cerro Vera,,"Cerro Vera 090904, Paraguay",-25.4693287,-57.1698609,0987 144994,http://wa.me/+595987144994,4.5,258,True,100,A,establishment|lodging|point_of_interest|spa
Renacer Spa,Spa/Wellness,Spa,Luque,,"PGH2+5RR, Luis Alberto de Herrera, Luque 110932, Paraguay",-25.2720048,-57.4979782,0982 450269,,4.5,163,False,100,A,establishment|point_of_interest|spa
YessNails Spa Manos,Spa/Wellness,Spa,San Antonio,,"Av. San Antonio 720 c, San Antonio 111309, Paraguay",-25.4195033,-57.5680184,0981 618000,,4.7,204,False,100,A,beauty_salon|establishment|point_of_interest
Gym Victor Niella,Gimnasio/Fitness,Gimnasio,Lambaré,,"casi, Av. Luis María Argaña & Porvenir, M97G+X6F, Lambaré 110705, Paraguay",-25.3350725,-57.6244448,0981 400632,,4.6,251,False,100,A,establishment|gym|health|point_of_interest
Sport Training Pro,Gimnasio/Fitness,General,Itauguá,,"Carmen de Pena 564, Itauguá 110604, Paraguay",-25.3893683,-57.3550396,0993 370635,,4.7,50,False,100,A,establishment|gym|health|point_of_interest
Spa Tiger,Spa/Wellness,Spa,Asunción,,"Europa 2186, Asunción 001236, Paraguay",-25.3052876,-57.6190718,0994 201066,,4.2,286,False,100,A,establishment|point_of_interest|spa
CRONOS ACADEMY,Gimnasio/Fitness,General,Fernando de la Mora,Fernando Zona Norte,"MFV8+2FV, Mariscal José Félix Estigarribia, Fernando de la Mora 110303, Paraguay",-25.3073998,-57.53383909999999,0976 934789,,4.9,51,False,100,A,establishment|gym|health|point_of_interest
Barbería Edison 💈,Barberia,General,Villarrica,,"Blvd. Bicentenario casi, Villarrica 040103, Paraguay",-25.7742252,-56.4466799,0994 166358,,4.9,105,False,100,A,establishment|hair_care|health|point_of_interest
Hold Fast Club de Caballeros,Peluqueria,General,Encarnación,,"Gral Aquino 1848, Encarnación 6000, Paraguay",-27.3254462,-55.8754074,0994 176777,,4.9,141,False,100,A,establishment|hair_care|health|point_of_interest
Mega Cosméticos Asunción,Otros,General,Asunción,,"Av. Gral. Bernardino Caballero y, Asunción 001227, Paraguay",-25.3024354,-57.60977260000001,0986 477733,,4.6,561,False,100,A,establishment|point_of_interest|store
Sport Club Guaraní,Gimnasio/Fitness,General,Lambaré,,"Bernardino Caballero 460, Lambaré 110725, Paraguay",-25.3465631,-57.63139400000001,(021) 909 551,,4.3,189,False,100,A,establishment|point_of_interest
