name,category,country,description,folder,status
aegro,AgTech,LATAM,,aegro,
agidea,AgTech,LATAM,,agidea,
agrobit,AgTech,LATAM,,agrobit,
agrofy,AgTech,LATAM,,agrofy,
agrolend,AgTech,LATAM,,agrolend,
agromarketing,AgTech,LATAM,,agromarketing,
agroportal,AgTech,LATAM,,agroportal,
agrosmart,AgTech,LATAM,,agrosmart,
agrotoken,AgTech,LATAM,,agrotoken,
auravant,AgTech,LATAM,,auravant,
basto,AgTech,LATAM,,basto,
bovcontrol,AgTech,LATAM,,bovcontrol,
controlagro,AgTech,LATAM,,controlagro,
datapar,AgTech,LATAM,,datapar,
de-raiz,AgTech,LATAM,,de-raiz,
deepagro,AgTech,LATAM,,deepagro,
digirodeo,AgTech,LATAM,,digirodeo,
finca,AgTech,LATAM,,finca,
frontec,AgTech,LATAM,,frontec,
guarani-insights,AgTech,LATAM,,guarani-insights,
id-animal,AgTech,LATAM,,id-animal,
ilivestock,AgTech,LATAM,,ilivestock,
instacrops,AgTech,LATAM,,instacrops,
kilimo,AgTech,LATAM,,kilimo,
s4-agtech,AgTech,LATAM,,s4-agtech,
sara-ruuts,AgTech,LATAM,,sara-ruuts,
sima,AgTech,LATAM,,sima,
sise-ue,AgTech,LATAM,,sise-ue,
smart-soil-py,AgTech,LATAM,,smart-soil-py,
solinftec,AgTech,LATAM,,solinftec,
strider-syngenta,AgTech,LATAM,,strider-syngenta,
tero-carbon,AgTech,LATAM,,tero-carbon,
traive,AgTech,LATAM,,traive,
ucropit,AgTech,LATAM,,ucropit,
vega-lyra,AgTech,LATAM,,vega-lyra,
visec,AgTech,LATAM,,visec,
wiagro,AgTech,LATAM,,wiagro,
xag-paraguay,AgTech,LATAM,,xag-paraguay,
