name,category,country,description,folder,status
**Comepar SA**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,PY,**comepar-sa**,
**Ladero Paraguayo SA**,Complete (deep-analysis.md 2026-05-04),PY,PY,**ladero-paraguayo-sa**,
**MyM Alimentos Corporativos**,Complete (deep-analysis.md 2026-05-04) — PY presence unconfirmed,PY,PY,**mym-alimentos-corporativos**,
**Talleyrand**,Complete (deep-analysis.md 2026-05-04),PY,PY,**talleyrand**,
**Masapan**,Complete (deep-analysis.md 2026-05-04),PY,PY,**masapan**,
**Espy's Catering**,Pending,PY,PY,**espy's-catering**,
**La Esperanza Servicios de Lunch**,Complete (deep-analysis.md 2026-05-04),PY,PY,**la-esperanza-servicios-de-lunch**,
**E-karú / Netsystem SA**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,PY,**e-karú---netsystem-sa**,
**Mr. Comanda / MRC Software**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,AR/PY,**mr.-comanda---mrc-software**,
**Teknisa / TecFood**,Pending,PY,BR,**teknisa---tecfood**,
**Cookep**,Pending,PY,LATAM (CL base),**cookep**,
**CookFlow**,Pending,PY,LATAM,**cookflow**,
**OrderEAT**,Pending,PY,UY,**ordereat**,
**Foodology**,Pending,PY,CO,**foodology**,
**Kitchenita**,Pending,PY,AR,**kitchenita**,
**Frubana**,Pending,PY,CO,**frubana**,
**Delly's**,Pending,PY,BR,**delly's**,
**Greentable**,Pending,PY,BR,**greentable**,
**Nutriser**,Pending,PY,CL,**nutriser**,
**ATA Alimentaria**,Pending,PY,AR,**ata-alimentaria**,
**Clicampo**,Pending,PY,BR,**clicampo**,
**Magnífica Food**,Pending,PY,BR,**magnífica-food**,
**iFood Empresas / iFood Benefícios**,Pending,PY,BR,**ifood-empresas---ifood-benefícios**,
**Edenred (Ticket Restaurant / Alimentación)**,Pending,PY,FR/LATAM,**edenred-ticket-restaurant---alimentación**,
**Foody**,Pending,PY,CO,**foody**,
**CaterUs**,Pending,PY,AR,**caterus**,
**Los Chefes**,Pending,PY,MX,**los-chefes**,
**FoodRise Hub**,Pending,PY,UY,**foodrise-hub**,
**GCG Paraguay (Goddard Catering Group / LSG Group)**,Pending,PY,Multinational/PY,**gcg-paraguay-goddard-catering-group---lsg-group**,
**Grupo Altair SA**,Complete (deep-analysis.md 2026-05-04),PY,PY,**grupo-altair-sa**,
**Alimentos y Servicios SRL (Todo Rico)**,Complete (deep-analysis.md 2026-05-04),PY,PY,**alimentos-y-servicios-srl-todo-rico**,
**Inflight Catering (Inflight Group PY)**,Pending,PY,PY,**inflight-catering-inflight-group-py**,
**Procard SA (LunchCard)**,Complete (deep-analysis.md 2026-05-04),PY,PY,**procard-sa-lunchcard**,
**Organización Integral SRL**,Pending,PY,PY,**organización-integral-srl**,
**Vloki**,Pending,PY,CO,**vloki**,
**Worki360**,Pending,PY,LATAM,**worki360**,
**Genera (GenCasino)**,Pending,PY,CL,**genera-gencasino**,
**ManduHR (by Visma)**,Pending,PY,AR/LATAM,**manduhr-by-visma**,
**Wuplify**,Pending,PY,LATAM,**wuplify**,
**GeoVictoria**,Pending,PY,AR/CL,**geovictoria**,
**Pluxee (formerly Sodexo Benefits & Incentives)**,Pending,PY,FR/LATAM,**pluxee-formerly-sodexo-benefits-&-incentives**,
**Aramark LATAM**,Pending,PY,US/LATAM,**aramark-latam**,
**Sudameris Bank (Gourmet Card)**,Pending,PY,PY,**sudameris-bank-gourmet-card**,
