name,category,country,description
aegro,AgTech,LATAM,
agidea,AgTech,LATAM,
agrobit,AgTech,LATAM,
agrofy,AgTech,LATAM,
agrolend,AgTech,LATAM,
agromarketing,AgTech,LATAM,
agroportal,AgTech,LATAM,
agrosmart,AgTech,LATAM,
agrotoken,AgTech,LATAM,
auravant,AgTech,LATAM,
basto,AgTech,LATAM,
bovcontrol,AgTech,LATAM,
controlagro,AgTech,LATAM,
datapar,AgTech,LATAM,
de-raiz,AgTech,LATAM,
deepagro,AgTech,LATAM,
digirodeo,AgTech,LATAM,
finca,AgTech,LATAM,
frontec,AgTech,LATAM,
guarani-insights,AgTech,LATAM,
id-animal,AgTech,LATAM,
ilivestock,AgTech,LATAM,
instacrops,AgTech,LATAM,
kilimo,AgTech,LATAM,
s4-agtech,AgTech,LATAM,
sara-ruuts,AgTech,LATAM,
sima,AgTech,LATAM,
sise-ue,AgTech,LATAM,
smart-soil-py,AgTech,LATAM,
solinftec,AgTech,LATAM,
strider-syngenta,AgTech,LATAM,
tero-carbon,AgTech,LATAM,
traive,AgTech,LATAM,
ucropit,AgTech,LATAM,
vega-lyra,AgTech,LATAM,
visec,AgTech,LATAM,
wiagro,AgTech,LATAM,
xag-paraguay,AgTech,LATAM,
