name,category,country,description
**Comepar SA**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,PY
**Ladero Paraguayo SA**,Complete (deep-analysis.md 2026-05-04),PY,PY
**MyM Alimentos Corporativos**,Complete (deep-analysis.md 2026-05-04) — PY presence unconfirmed,PY,PY
**Talleyrand**,Complete (deep-analysis.md 2026-05-04),PY,PY
**Masapan**,Complete (deep-analysis.md 2026-05-04),PY,PY
**Espy's Catering**,Pending,PY,PY
**La Esperanza Servicios de Lunch**,Complete (deep-analysis.md 2026-05-04),PY,PY
**E-karú / Netsystem SA**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,PY
**Mr. Comanda / MRC Software**,Complete — full triplet (deep-analysis + corporate-history + financial-growth 2026-05-04),PY,AR/PY
**Teknisa / TecFood**,Pending,PY,BR
**Cookep**,Pending,PY,LATAM (CL base)
**CookFlow**,Pending,PY,LATAM
**OrderEAT**,Pending,PY,UY
**Foodology**,Pending,PY,CO
**Kitchenita**,Pending,PY,AR
**Frubana**,Pending,PY,CO
**Delly's**,Pending,PY,BR
**Greentable**,Pending,PY,BR
**Nutriser**,Pending,PY,CL
**ATA Alimentaria**,Pending,PY,AR
**Clicampo**,Pending,PY,BR
**Magnífica Food**,Pending,PY,BR
**iFood Empresas / iFood Benefícios**,Pending,PY,BR
**Edenred (Ticket Restaurant / Alimentación)**,Pending,PY,FR/LATAM
**Foody**,Pending,PY,CO
**CaterUs**,Pending,PY,AR
**Los Chefes**,Pending,PY,MX
**FoodRise Hub**,Pending,PY,UY
**GCG Paraguay (Goddard Catering Group / LSG Group)**,Pending,PY,Multinational/PY
**Grupo Altair SA**,Complete (deep-analysis.md 2026-05-04),PY,PY
**Alimentos y Servicios SRL (Todo Rico)**,Complete (deep-analysis.md 2026-05-04),PY,PY
**Inflight Catering (Inflight Group PY)**,Pending,PY,PY
**Procard SA (LunchCard)**,Complete (deep-analysis.md 2026-05-04),PY,PY
**Organización Integral SRL**,Pending,PY,PY
**Vloki**,Pending,PY,CO
**Worki360**,Pending,PY,LATAM
**Genera (GenCasino)**,Pending,PY,CL
**ManduHR (by Visma)**,Pending,PY,AR/LATAM
**Wuplify**,Pending,PY,LATAM
**GeoVictoria**,Pending,PY,AR/CL
**Pluxee (formerly Sodexo Benefits & Incentives)**,Pending,PY,FR/LATAM
**Aramark LATAM**,Pending,PY,US/LATAM
**Sudameris Bank (Gourmet Card)**,Pending,PY,PY
